Gene	gene_id	type	chr	start	stop	gene_name.84	gene_id.84	gene_type.84	Balaton.consensus.calls
32	ARHGEF6	ENSG00000129675	protein_coding	chrX	136665547	136780932	ARHGEF6	ENSG00000129675	protein_coding	S
33	ARHGEF9	ENSG00000131089	protein_coding	chrX	63634967	63809274	ARHGEF9	ENSG00000131089	protein_coding	S
34	ARL13A	ENSG00000174225	protein_coding	chrX	100969708	100990831	ARL13A	ENSG00000174225	protein_coding	S
35	ARMCX1	ENSG00000126947	protein_coding	chrX	101550547	101554700	ARMCX1	ENSG00000126947	protein_coding	S
36	ARMCX2	ENSG00000184867	protein_coding	chrX	101655281	101659850	ARMCX2	ENSG00000184867	protein_coding	S
37	ARMCX3	ENSG00000102401	protein_coding	chrX	101622797	101627843	ARMCX3	ENSG00000102401	protein_coding	S
38	ARMCX4	ENSG00000196440	protein_coding	chrX	101418287	101533459	ARMCX4	ENSG00000196440	protein_coding	Mostly S
39	ARMCX5	ENSG00000125962	protein_coding	chrX	102599168	102604159	ARMCX5	ENSG00000125962	protein_coding	S
40	ARMCX6	ENSG00000198960	protein_coding	chrX	101615118	101618001	ARMCX6	ENSG00000198960	protein_coding	S
41	ARR3	ENSG00000120500	protein_coding	chrX	70268305	70281840	ARR3	ENSG00000120500	protein_coding	S
42	ARSD	ENSG00000006756	protein_coding	chrX	2903972	2929349	ARSD	ENSG00000006756	protein_coding	Mostly E
43	ARSF	ENSG00000062096	protein_coding	chrX	3041471	3112727	ARSF	ENSG00000062096	protein_coding	No call
44	ARSH	ENSG00000205667	protein_coding	chrX	3006546	3034111	ARSH	ENSG00000205667	protein_coding	E
45	ARSL	ENSG00000157399	protein_coding	chrX	2934045	2968475	ARSE	ENSG00000157399	protein_coding	Mostly VE
46	ARX	ENSG00000004848	protein_coding	chrX	25003694	25016420	ARX	ENSG00000004848	protein_coding	No call
47	ASB11	ENSG00000165192	protein_coding	chrX	15281697	15315640	ASB11	ENSG00000165192	protein_coding	VE
48	ASB12	ENSG00000198881	protein_coding	chrX	64224194	64230607	ASB12	ENSG00000198881	protein_coding	S
49	ASB9	ENSG00000102048	protein_coding	chrX	15235288	15270467	ASB9	ENSG00000102048	protein_coding	S
50	ASMT	ENSG00000196433	protein_coding	chrX	1615059	1643081	ASMT	ENSG00000196433	protein_coding	PAR
51	ASMTL	ENSG00000169093	protein_coding	chrX	1403139	1453762	ASMTL	ENSG00000169093	protein_coding	PAR
52	ATG4A	ENSG00000101844	protein_coding	chrX	108091668	108154671	ATG4A	ENSG00000101844	protein_coding	Mostly S
53	ATP11C	ENSG00000101974	protein_coding	chrX	139726346	139945276	ATP11C	ENSG00000101974	protein_coding	S
54	ATP1B4	ENSG00000101892	protein_coding	chrX	120362085	120383249	ATP1B4	ENSG00000101892	protein_coding	No call
55	ATP2B3	ENSG00000067842	protein_coding	chrX	153517642	153582939	ATP2B3	ENSG00000067842	protein_coding	Discordant
56	ATP6AP1	ENSG00000071553	protein_coding	chrX	154428633	154436516	ATP6AP1	ENSG00000071553	protein_coding	S
57	ATP6AP2	ENSG00000182220	protein_coding	chrX	40579372	40606848	ATP6AP2	ENSG00000182220	protein_coding	Mostly S
58	ATP7A	ENSG00000165240	protein_coding	chrX	77910656	78050395	ATP7A	ENSG00000165240	protein_coding	Mostly S
59	ATRX	ENSG00000085224	protein_coding	chrX	77504880	77786233	ATRX	ENSG00000085224	protein_coding	S
60	ATXN3L	ENSG00000123594	protein_coding	chrX	13318647	13320053	ATXN3L	ENSG00000123594	protein_coding	No call
61	AVPR2	ENSG00000126895	protein_coding	chrX	153902531	153907166	AVPR2	ENSG00000126895	protein_coding	Discordant
62	AWAT1	ENSG00000204195	protein_coding	chrX	70234655	70240659	AWAT1	ENSG00000204195	protein_coding	S
63	AWAT2	ENSG00000147160	protein_coding	chrX	70040542	70049938	AWAT2	ENSG00000147160	protein_coding	No call
64	BCAP31	ENSG00000185825	protein_coding	chrX	153700492	153724565	BCAP31	ENSG00000185825	protein_coding	Mostly S
65	BCLAF3	ENSG00000173681	protein_coding	chrX	19912860	19970298	CXorf23	ENSG00000173681	protein_coding	S
66	BCOR	ENSG00000183337	protein_coding	chrX	40049815	40177329	BCOR	ENSG00000183337	protein_coding	Mostly S
67	BCORL1	ENSG00000085185	protein_coding	chrX	129981107	130058071	BCORL1	ENSG00000085185	protein_coding	S
68	BEND2	ENSG00000177324	protein_coding	chrX	18162931	18220886	BEND2	ENSG00000177324	protein_coding	VE
69	BEX1	ENSG00000133169	protein_coding	chrX	103062651	103064171	BEX1	ENSG00000133169	protein_coding	S
70	BEX2	ENSG00000133134	protein_coding	chrX	103309346	103311007	BEX2	ENSG00000133134	protein_coding	S
71	BEX3	ENSG00000166681	protein_coding	chrX	103376395	103378164	NGFRAP1	ENSG00000166681	protein_coding	S
72	BEX4	ENSG00000102409	protein_coding	chrX	103215108	103217246	BEX4	ENSG00000102409	protein_coding	S
73	BEX5	ENSG00000184515	protein_coding	chrX	102153708	102155977	BEX5	ENSG00000184515	protein_coding	No call
74	BGN	ENSG00000182492	protein_coding	chrX	153494980	153509546	BGN	ENSG00000182492	protein_coding	S
75	BHLHB9	ENSG00000198908	protein_coding	chrX	102720688	102753540	BHLHB9	ENSG00000198908	protein_coding	S
76	BMP15	ENSG00000130385	protein_coding	chrX	50910735	50916641	BMP15	ENSG00000130385	protein_coding	No call
77	BMX	ENSG00000102010	protein_coding	chrX	15464246	15556529	BMX	ENSG00000102010	protein_coding	No call
78	BRCC3	ENSG00000185515	protein_coding	chrX	155071420	155123077	BRCC3	ENSG00000185515	protein_coding	Mostly S
79	BRS3	ENSG00000102239	protein_coding	chrX	136487947	136493780	BRS3	ENSG00000102239	protein_coding	VE
80	BRWD3	ENSG00000165288	protein_coding	chrX	80669503	80809877	BRWD3	ENSG00000165288	protein_coding	S
81	BTK	ENSG00000010671	protein_coding	chrX	101349447	101390796	BTK	ENSG00000010671	protein_coding	S
82	C1GALT1C1	ENSG00000171155	protein_coding	chrX	120625674	120630054	C1GALT1C1	ENSG00000171155	protein_coding	S
83	CA5B	ENSG00000169239	protein_coding	chrX	15688830	15788411	CA5B	ENSG00000169239	protein_coding	Mostly E
84	CACNA1F	ENSG00000102001	protein_coding	chrX	49205063	49233371	CACNA1F	ENSG00000102001	protein_coding	S
85	CAPN6	ENSG00000077274	protein_coding	chrX	111245099	111270483	CAPN6	ENSG00000077274	protein_coding	S
86	CASK	ENSG00000147044	protein_coding	chrX	41514934	41923554	CASK	ENSG00000147044	protein_coding	S
87	CBLL2	ENSG00000175809	protein_coding	chrX	22272913	22274461	ZNF645	ENSG00000175809	protein_coding	No call
88	CCDC120	ENSG00000147144	protein_coding	chrX	49053572	49069857	CCDC120	ENSG00000147144	protein_coding	S
89	CCDC160	ENSG00000203952	protein_coding	chrX	134237047	134246207	CCDC160	ENSG00000203952	protein_coding	S
90	CCDC22	ENSG00000101997	protein_coding	chrX	49235470	49250520	CCDC22	ENSG00000101997	protein_coding	S
91	CCNB3	ENSG00000147082	protein_coding	chrX	50202713	50351914	CCNB3	ENSG00000147082	protein_coding	Mostly S
92	CCNQ	ENSG00000262919	protein_coding	chrX	153587925	153600045	FAM58A	ENSG00000262919	protein_coding	S
93	CD40LG	ENSG00000102245	protein_coding	chrX	136648158	136660390	CD40LG	ENSG00000102245	protein_coding	VE
94	CD99	ENSG00000002586	protein_coding	chrX	2691187	2741309	CD99	ENSG00000002586	protein_coding	PAR
95	CD99L2	ENSG00000102181	protein_coding	chrX	150766336	150898816	CD99L2	ENSG00000102181	protein_coding	S
96	CDK16	ENSG00000102225	protein_coding	chrX	47217860	47229997	CDK16	ENSG00000102225	protein_coding	Mostly E
97	CDKL5	ENSG00000008086	protein_coding	chrX	18425583	18653629	CDKL5	ENSG00000008086	protein_coding	Mostly S
98	CDR1	ENSG00000288642	protein_coding	chrX	140783578	140784366	CDR1	ENSG00000184258	protein_coding	S
99	CDX4	ENSG00000131264	protein_coding	chrX	73447053	73455171	CDX4	ENSG00000131264	protein_coding	No call
100	CENPI	ENSG00000102384	protein_coding	chrX	101098188	101166126	CENPI	ENSG00000102384	protein_coding	S
101	CENPVL1	ENSG00000223591	protein_coding	chrX	51710512	51712131	CENPVP1	ENSG00000223591	protein_coding	No call
102	CENPVL2	ENSG00000283093	protein_coding	chrX	51681212	51682831	RP11-141O19.1	ENSG00000283093	protein_coding	NA
103	CENPVL3	ENSG00000224109	protein_coding	chrX	51617020	51618912	CENPVP3	ENSG00000224109	protein_coding	NA
104	CETN2	ENSG00000147400	protein_coding	chrX	152826994	152830757	CETN2	ENSG00000147400	protein_coding	S
105	CFAP47	ENSG00000165164	protein_coding	chrX	35919734	36385317	CFAP47	ENSG00000165164	protein_coding	No call
106	CFP	ENSG00000126759	protein_coding	chrX	47623172	47630305	CFP	ENSG00000126759	protein_coding	S
107	CHIC1	ENSG00000204116	protein_coding	chrX	73563200	73687102	CHIC1	ENSG00000204116	protein_coding	S
108	CHM	ENSG00000188419	protein_coding	chrX	85861180	86047561	CHM	ENSG00000188419	protein_coding	Discordant
109	CHRDL1	ENSG00000101938	protein_coding	chrX	110673856	110795819	CHRDL1	ENSG00000101938	protein_coding	S
110	CHST7	ENSG00000147119	protein_coding	chrX	46573765	46598496	CHST7	ENSG00000147119	protein_coding	S
111	CITED1	ENSG00000125931	protein_coding	chrX	72301638	72307187	CITED1	ENSG00000125931	protein_coding	Discordant
112	CLCN4	ENSG00000073464	protein_coding	chrX	10156975	10237660	CLCN4	ENSG00000073464	protein_coding	Mostly S
113	CLCN5	ENSG00000171365	protein_coding	chrX	49922596	50099235	CLCN5	ENSG00000171365	protein_coding	S
114	CLDN2	ENSG00000165376	protein_coding	chrX	106900164	106930861	CLDN2	ENSG00000165376	protein_coding	S
115	CLDN34	ENSG00000234469	protein_coding	chrX	9967358	9968352	CLDN34	ENSG00000234469	protein_coding	No call
116	CLIC2	ENSG00000155962	protein_coding	chrX	155276211	155334657	CLIC2	ENSG00000155962	protein_coding	Mostly S
117	CLTRN	ENSG00000147003	protein_coding	chrX	15627318	15675012	TMEM27	ENSG00000147003	protein_coding	Discordant
118	CMC4	ENSG00000182712	protein_coding	chrX	155061622	155071136	CMC4	ENSG00000182712	protein_coding	No call
119	CNGA2	ENSG00000183862	protein_coding	chrX	151738451	151745304	CNGA2	ENSG00000183862	protein_coding	No call
120	CNKSR2	ENSG00000149970	protein_coding	chrX	21372801	21654695	CNKSR2	ENSG00000149970	protein_coding	Mostly S
121	COL4A5	ENSG00000188153	protein_coding	chrX	108439838	108697545	COL4A5	ENSG00000188153	protein_coding	S
122	COL4A6	ENSG00000197565	protein_coding	chrX	108155607	108439497	COL4A6	ENSG00000197565	protein_coding	Mostly VE
123	COX7B	ENSG00000131174	protein_coding	chrX	77899440	77907376	COX7B	ENSG00000131174	protein_coding	VE
124	CPXCR1	ENSG00000147183	protein_coding	chrX	88747225	88754785	CPXCR1	ENSG00000147183	protein_coding	No call
125	CRLF2	ENSG00000205755	protein_coding	chrX	1187549	1212723	CRLF2	ENSG00000205755	protein_coding	PAR
126	CSAG1	ENSG00000198930	protein_coding	chrX	152727484	152733735	CSAG1	ENSG00000198930	protein_coding	No call
127	CSAG2	ENSG00000268902	protein_coding	chrX	152708261	152714549	CSAG2	ENSG00000268902	transcribed_unprocessed_pseudogene	No call
128	CSAG3	ENSG00000268916	protein_coding	chrX	152753921	152760222	CSAG3	ENSG00000268916	transcribed_processed_pseudogene	No call
129	CSF2RA	ENSG00000198223	protein_coding	chrX	1268800	1310381	CSF2RA	ENSG00000198223	protein_coding	PAR
130	CSTF2	ENSG00000101811	protein_coding	chrX	100820359	100841520	CSTF2	ENSG00000101811	protein_coding	S
131	CT45A1	ENSG00000268940	protein_coding	chrX	135713639	135723539	CT45A1	ENSG00000268940	protein_coding	No call
132	CT45A10	ENSG00000269586	protein_coding	chrX	135881063	135893444	CT45A10	ENSG00000269586	protein_coding	NA
133	CT45A2	ENSG00000271449	protein_coding	chrX	135811668	135820012	CT45A2	ENSG00000271449	protein_coding	No call
134	CT45A3	ENSG00000269096	protein_coding	chrX	135759846	135768191	CT45A3	ENSG00000269096	protein_coding	No call
135	CT45A5	ENSG00000228836	protein_coding	chrX	135777130	135785298	CT45A5	ENSG00000228836	protein_coding	No call
136	CT45A6	ENSG00000278289	protein_coding	chrX	135794685	135802787	CT45A6	ENSG00000278289	protein_coding	No call
137	CT45A7	ENSG00000273696	protein_coding	chrX	135829247	135837268	CT45A7	ENSG00000273696	protein_coding	NA
138	CT45A8	ENSG00000278085	protein_coding	chrX	135846497	135854538	CT45A8	ENSG00000278085	protein_coding	NA
139	CT45A9	ENSG00000270946	protein_coding	chrX	135863418	135871812	CT45A9	ENSG00000270946	protein_coding	NA
140	CT47A1	ENSG00000236371	protein_coding	chrX	120982476	120985760	CT47A1	ENSG00000236371	protein_coding	No call
141	CT47A10	ENSG00000224089	protein_coding	chrX	120938701	120942023	CT47A10	ENSG00000224089	protein_coding	NA
142	CT47A11	ENSG00000226929	protein_coding	chrX	120933840	120937158	CT47A11	ENSG00000226929	protein_coding	No call
143	CT47A12	ENSG00000226685	protein_coding	chrX	120930250	120932301	CT47A12	ENSG00000226685	protein_coding	NA
144	CT47A2	ENSG00000242362	protein_coding	chrX	120977606	120980928	CT47A2	ENSG00000242362	protein_coding	NA
145	CT47A3	ENSG00000236126	protein_coding	chrX	120972746	120976068	CT47A3	ENSG00000236126	protein_coding	NA
146	CT47A4	ENSG00000230594	protein_coding	chrX	120967886	120971208	CT47A4	ENSG00000230594	protein_coding	NA
147	CT47A5	ENSG00000237957	protein_coding	chrX	120963026	120966348	CT47A5	ENSG00000237957	protein_coding	NA
148	CT47A6	ENSG00000226023	protein_coding	chrX	120958165	120961487	CT47A6	ENSG00000226023	protein_coding	No call
149	CT47A7	ENSG00000228517	protein_coding	chrX	120953282	120956600	CT47A7	ENSG00000228517	protein_coding	No call
150	CT47A8	ENSG00000230347	protein_coding	chrX	120948422	120951744	CT47A8	ENSG00000230347	protein_coding	NA
151	CT47A9	ENSG00000226600	protein_coding	chrX	120943561	120946883	CT47A9	ENSG00000226600	protein_coding	NA
152	CT47B1	ENSG00000236446	protein_coding	chrX	120872603	120875929	CT47B1	ENSG00000236446	protein_coding	No call
153	CT55	ENSG00000169551	protein_coding	chrX	135156540	135171398	CT55	ENSG00000169551	protein_coding	No call
154	CT83	ENSG00000204019	protein_coding	chrX	116461686	116462976	CT83	ENSG00000204019	protein_coding	No call
155	CTAG1A	ENSG00000268651	protein_coding	chrX	154585133	154586816	CTAG1A	ENSG00000268651	protein_coding	No call
156	CTAG1B	ENSG00000184033	protein_coding	chrX	154617609	154619282	CTAG1B	ENSG00000184033	protein_coding	NA
157	CTAG2	ENSG00000126890	protein_coding	chrX	154651972	154653579	CTAG2	ENSG00000126890	protein_coding	No call
158	CTPS2	ENSG00000047230	protein_coding	chrX	16587999	16712936	CTPS2	ENSG00000047230	protein_coding	Mostly E
159	CUL4B	ENSG00000158290	protein_coding	chrX	120505920	120604074	CUL4B	ENSG00000158290	protein_coding	Mostly S
160	CXCR3	ENSG00000186810	protein_coding	chrX	71615916	71618511	CXCR3	ENSG00000186810	protein_coding	S
161	CXorf38	ENSG00000185753	protein_coding	chrX	40626921	40647561	CXorf38	ENSG00000185753	protein_coding	E
162	CXorf49	ENSG00000215115	protein_coding	chrX	71714371	71718285	CXorf49	ENSG00000215115	protein_coding	No call
163	CXorf49B	ENSG00000215113	protein_coding	chrX	71763349	71767204	CXorf49B	ENSG00000215113	protein_coding	NA
164	CXorf51A	ENSG00000224440	protein_coding	chrX	146814106	146814726	CXorf51A	ENSG00000224440	lincRNA	NA
165	CXorf51B	ENSG00000235699	protein_coding	chrX	146809771	146810411	CXorf51B	ENSG00000235699	lincRNA	No call
166	CXorf58	ENSG00000165182	protein_coding	chrX	23908006	23939509	CXorf58	ENSG00000165182	protein_coding	S
167	CXorf65	ENSG00000204165	protein_coding	chrX	71103889	71106788	CXorf65	ENSG00000204165	protein_coding	VE
168	CXorf66	ENSG00000203933	protein_coding	chrX	139955728	139965521	CXorf66	ENSG00000203933	protein_coding	S
169	CYBB	ENSG00000165168	protein_coding	chrX	37780059	37813461	CYBB	ENSG00000165168	protein_coding	S
170	CYLC1	ENSG00000183035	protein_coding	chrX	83861126	83886699	CYLC1	ENSG00000183035	protein_coding	No call
171	CYSLTR1	ENSG00000173198	protein_coding	chrX	78271468	78327691	CYSLTR1	ENSG00000173198	protein_coding	S
172	DACH2	ENSG00000126733	protein_coding	chrX	86148451	86832604	DACH2	ENSG00000126733	protein_coding	Discordant
173	DCAF12L1	ENSG00000198889	protein_coding	chrX	126549383	126552814	DCAF12L1	ENSG00000198889	protein_coding	No call
174	DCAF12L2	ENSG00000198354	protein_coding	chrX	126163499	126166289	DCAF12L2	ENSG00000198354	protein_coding	S
175	DCAF8L1	ENSG00000226372	protein_coding	chrX	27977992	27981449	DCAF8L1	ENSG00000226372	protein_coding	No call
176	DCAF8L2	ENSG00000189186	protein_coding	chrX	27590382	27748821	DCAF8L2	ENSG00000189186	protein_coding	No call
177	DCX	ENSG00000077279	protein_coding	chrX	111293779	111412429	DCX	ENSG00000077279	protein_coding	S
178	DDX3X	ENSG00000215301	protein_coding	chrX	41333348	41364472	DDX3X	ENSG00000215301	protein_coding	E
179	DDX53	ENSG00000184735	protein_coding	chrX	22999960	23003589	DDX53	ENSG00000184735	protein_coding	No call
180	DGAT2L6	ENSG00000184210	protein_coding	chrX	70177483	70205704	DGAT2L6	ENSG00000184210	protein_coding	VE
181	DGKK	ENSG00000274588	protein_coding	chrX	50365409	50470825	DGKK	ENSG00000274588	protein_coding	S
182	DHRSX	ENSG00000169084	protein_coding	chrX	2219506	2502805	DHRSX	ENSG00000169084	protein_coding	PAR
183	DIAPH2	ENSG00000147202	protein_coding	chrX	96684663	97604997	DIAPH2	ENSG00000147202	protein_coding	Discordant
184	DIPK2B	ENSG00000147113	protein_coding	chrX	45148373	45200901	CXorf36	ENSG00000147113	protein_coding	S
185	DKC1	ENSG00000130826	protein_coding	chrX	154762742	154777689	DKC1	ENSG00000130826	protein_coding	S
186	DLG3	ENSG00000082458	protein_coding	chrX	70444835	70505490	DLG3	ENSG00000082458	protein_coding	S
187	DMD	ENSG00000198947	protein_coding	chrX	31097677	33339609	DMD	ENSG00000198947	protein_coding	S
188	DMRTC1	ENSG00000269502	protein_coding	chrX	72872025	72943837	DMRTC1	ENSG00000269502	protein_coding	No call
189	DMRTC1B	ENSG00000184911	protein_coding	chrX	72776890	72848803	DMRTC1B	ENSG00000184911	protein_coding	No call
190	DNAAF6	ENSG00000080572	protein_coding	chrX	107206611	107244247	PIH1D3	ENSG00000080572	protein_coding	S
191	DNASE1L1	ENSG00000013563	protein_coding	chrX	154401236	154412112	DNASE1L1	ENSG00000013563	protein_coding	S
192	DOCK11	ENSG00000147251	protein_coding	chrX	118495815	118686163	DOCK11	ENSG00000147251	protein_coding	Mostly S
193	DRP2	ENSG00000102385	protein_coding	chrX	101219769	101264502	DRP2	ENSG00000102385	protein_coding	S
194	DUSP21	ENSG00000189037	protein_coding	chrX	44844021	44844888	DUSP21	ENSG00000189037	protein_coding	No call
195	DUSP9	ENSG00000130829	protein_coding	chrX	153642492	153651326	DUSP9	ENSG00000130829	protein_coding	S
196	DYNLT3	ENSG00000165169	protein_coding	chrX	37836757	37847571	DYNLT3	ENSG00000165169	protein_coding	S
197	EBP	ENSG00000147155	protein_coding	chrX	48521799	48528716	EBP	ENSG00000147155	protein_coding	Mostly S
198	EDA	ENSG00000158813	protein_coding	chrX	69616067	70039472	EDA	ENSG00000158813	protein_coding	Mostly S
199	EDA2R	ENSG00000131080	protein_coding	chrX	66595637	66639298	EDA2R	ENSG00000131080	protein_coding	Discordant
200	EFHC2	ENSG00000183690	protein_coding	chrX	44147872	44343672	EFHC2	ENSG00000183690	protein_coding	Discordant
201	EFNB1	ENSG00000090776	protein_coding	chrX	68829021	68842160	EFNB1	ENSG00000090776	protein_coding	Mostly S
202	EGFL6	ENSG00000198759	protein_coding	chrX	13569601	13633575	EGFL6	ENSG00000198759	protein_coding	S
203	EIF1AX	ENSG00000173674	protein_coding	chrX	20124525	20141838	EIF1AX	ENSG00000173674	protein_coding	E
204	EIF2S3	ENSG00000130741	protein_coding	chrX	24054946	24078810	EIF2S3	ENSG00000130741	protein_coding	E
205	ELF4	ENSG00000102034	protein_coding	chrX	130063955	130110716	ELF4	ENSG00000102034	protein_coding	S
206	ELK1	ENSG00000126767	protein_coding	chrX	47635521	47650604	ELK1	ENSG00000126767	protein_coding	S
207	EMD	ENSG00000102119	protein_coding	chrX	154379273	154381574	EMD	ENSG00000102119	protein_coding	S
208	ENOX2	ENSG00000165675	protein_coding	chrX	130622325	130903234	ENOX2	ENSG00000165675	protein_coding	Mostly S
209	EOLA1	ENSG00000197620	protein_coding	chrX	149540355	149550510	CXorf40A	ENSG00000197620	protein_coding	S
210	EOLA2	ENSG00000197021	protein_coding	chrX	149929527	149938700	CXorf40B	ENSG00000197021	protein_coding	S
211	ERAS	ENSG00000187682	protein_coding	chrX	48826513	48830138	ERAS	ENSG00000187682	protein_coding	No call
212	ERCC6L	ENSG00000186871	protein_coding	chrX	72204657	72239027	ERCC6L	ENSG00000186871	protein_coding	S
213	ESX1	ENSG00000123576	protein_coding	chrX	104250038	104254933	ESX1	ENSG00000123576	protein_coding	No call
214	ETDA	ENSG00000238210	protein_coding	chrX	135252061	135253583	RP13-210D15.4	ENSG00000238210	lincRNA	NA
215	ETDB	ENSG00000224107	protein_coding	chrX	135118955	135120526	LINC00633	ENSG00000224107	lincRNA	NA
216	ETDC	ENSG00000283644	protein_coding	chrX	135309480	135309659	NA	ENSG00000283644	NA	NA
217	EZHIP	ENSG00000187690	protein_coding	chrX	51406948	51408843	CXorf67	ENSG00000187690	protein_coding	NA
218	F8	ENSG00000185010	protein_coding	chrX	154835788	155026940	F8	ENSG00000185010	protein_coding	S
219	F8A1	ENSG00000288722	protein_coding	chrX	154886355	154888061	F8A1	ENSG00000277203	protein_coding	NA
220	F8A2	ENSG00000288709	protein_coding	chrX	155382095	155383801	F8A2	ENSG00000274791	protein_coding	NA
221	F8A3	ENSG00000277150	protein_coding	chrX	155456914	155458620	F8A3	ENSG00000277150	protein_coding	No call
222	F9	ENSG00000101981	protein_coding	chrX	139530739	139563459	F9	ENSG00000101981	protein_coding	No call
223	FAAH2	ENSG00000165591	protein_coding	chrX	57286706	57489193	FAAH2	ENSG00000165591	protein_coding	S
224	FAM104B	ENSG00000182518	protein_coding	chrX	55143102	55161310	FAM104B	ENSG00000182518	protein_coding	S
225	FAM120C	ENSG00000184083	protein_coding	chrX	54068324	54183281	FAM120C	ENSG00000184083	protein_coding	S
226	FAM133A	ENSG00000179083	protein_coding	chrX	93674013	93712274	FAM133A	ENSG00000179083	protein_coding	S
227	FAM155B	ENSG00000130054	protein_coding	chrX	69504326	69532508	FAM155B	ENSG00000130054	protein_coding	S
228	FAM156A	ENSG00000268350	protein_coding	chrX	52926402	52995472	FAM156A	ENSG00000268350	protein_coding	S
229	FAM156B	ENSG00000179304	protein_coding	chrX	52891306	52908560	FAM156B	ENSG00000179304	protein_coding	No call
230	FAM199X	ENSG00000123575	protein_coding	chrX	104166453	104195902	FAM199X	ENSG00000123575	protein_coding	S
231	FAM236A	ENSG00000275520	protein_coding	chrX	72938163	72938958	LINC00684	ENSG00000275520	lincRNA	NA
232	FAM236B	ENSG00000268994	protein_coding	chrX	72781865	72782660	RP1-172N19.1	ENSG00000268994	lincRNA	NA
233	FAM236C	ENSG00000283594	protein_coding	chrX	72912615	72913401	NA	ENSG00000283594	NA	NA
234	FAM236D	ENSG00000225396	protein_coding	chrX	72807425	72808210	RP11-69A21.2	ENSG00000225396	lincRNA	NA
235	FAM3A	ENSG00000071889	protein_coding	chrX	154506159	154516242	FAM3A	ENSG00000071889	protein_coding	S
