gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	region	gene_name.104	gene_id.104	gene_type.104	chr	start	stop	gene_id.84	gene_type.84
GTPBP6	2982.873842	311.878132	1551.259539	146.8814996	2.83E-12	9.59E-11	0.789310526	8.63E-11	2.68E-09	0.520055363	0.073357898	PAR1	GTPBP6	ENSG00000178605	protein_coding	chrX	304529	318819	ENSG00000178605	protein_coding
ZRSR2	1066.981219	77.83167211	448.7138456	43.54439234	5.38E-12	1.53E-10	0.734353372	3.73E-09	5.53E-08	0.420545215	0.05105487	NPX	ZRSR2	ENSG00000169249	protein_coding	chrX	15790472	15823260	ENSG00000169249	protein_coding
EIF1AX	8805.226932	713.4020464	4157.624814	411.4082601	8.90E-12	2.34E-10	0.798972703	4.00E-11	1.50E-09	0.472176907	0.060386843	NPX	EIF1AX	ENSG00000173674	protein_coding	chrX	20124525	20141838	ENSG00000173674	protein_coding
SLC25A6	47945.4415	5309.131894	25170.9495	2516.12819	1.16E-11	2.81E-10	0.776679291	2.23E-10	6.34E-09	0.524991505	0.078317169	PAR1	SLC25A6	ENSG00000169100	protein_coding	chrX	1386152	1392113	ENSG00000169100	protein_coding
RPS4X	63594.10385	6476.847211	41096.17769	4208.005871	2.13E-11	4.84E-10	0.746005879	1.81E-09	3.62E-08	0.646226225	0.093328342	NPX	RPS4X	ENSG00000198034	protein_coding	chrX	72255679	72277248	ENSG00000198034	protein_coding
SMC1A	11225.53884	1196.179298	6074.931327	652.6525385	7.08E-11	1.51E-09	0.765983102	4.78E-10	1.25E-08	0.541170576	0.081888197	NPX	SMC1A	ENSG00000072501	protein_coding	chrX	53374149	53422728	ENSG00000072501	protein_coding
DHRSX	1546.68563	127.7769728	721.9803747	81.69224241	2.50E-10	5.01E-09	0.682077419	6.64E-08	6.86E-07	0.466791933	0.065397448	PAR1	DHRSX	ENSG00000169084	protein_coding	chrX	2219506	2502805	ENSG00000169084	protein_coding
PPP2R3B	766.2022781	121.9431006	475.0484854	57.54825826	1.24E-09	2.35E-08	0.735008148	3.58E-09	5.53E-08	0.620004011	0.124008409	PAR1	PPP2R3B	ENSG00000167393	protein_coding	chrX	333933	386955	ENSG00000167393	protein_coding
P2RY8	8296.475166	881.7309256	4272.330488	546.7977141	4.29E-09	7.70E-08	0.678793629	7.82E-08	7.62E-07	0.514957304	0.085667811	PAR1	P2RY8	ENSG00000182162	protein_coding	chrX	1462581	1537185	ENSG00000182162	protein_coding
ASMTL	3608.072477	311.7535265	1589.446137	203.9030773	4.52E-09	7.71E-08	0.632314752	6.61E-07	4.51E-06	0.440525003	0.068136173	PAR1	ASMTL	ENSG00000169093	protein_coding	chrX	1403139	1453762	ENSG00000169093	protein_coding
STS	2641.519041	477.0457435	2182.04986	290.0307653	9.81E-09	1.59E-07	0.696496814	3.17E-08	3.72E-07	0.826058728	0.185231536	NPX	STS	ENSG00000101846	protein_coding	chrX	7147237	7804358	ENSG00000101846	protein_coding
PRKX	2936.673789	282.2282926	1288.38589	189.0557527	7.69E-08	1.19E-06	0.598514181	2.61E-06	1.39E-05	0.438722849	0.07695591	NPX	PRKX	ENSG00000183943	protein_coding	chrX	3604340	3713649	ENSG00000183943	protein_coding
DDX3X	21058.5597	1425.841861	5073.19442	751.1091248	9.19E-08	1.36E-06	0.682957418	6.35E-08	6.77E-07	0.240908898	0.039220499	NPX	DDX3X	ENSG00000215301	protein_coding	chrX	41333348	41364472	ENSG00000215301	protein_coding
TXLNG	3060.967155	182.6673876	584.0094554	96.50433223	7.38E-07	1.05E-05	0.625998629	8.63E-07	5.66E-06	0.190792461	0.033520342	NPX	TXLNG	ENSG00000086712	protein_coding	chrX	16786432	16844519	ENSG00000086712	protein_coding
UBA1	14242.84288	639.3192503	2396.243463	408.5572197	1.29E-06	1.76E-05	0.584945977	4.36E-06	2.22E-05	0.168241936	0.029662524	NPX	UBA1	ENSG00000130985	protein_coding	chrX	47190861	47215128	ENSG00000130985	protein_coding
PLCXD1	2632.824601	348.0783483	1208.193719	219.8919209	3.91E-06	5.13E-05	0.53534481	2.45E-05	0.000103163	0.458896395	0.103229192	PAR1	PLCXD1	ENSG00000182378	protein_coding	chrX	276322	303356	ENSG00000182378	protein_coding
EIF2S3	21772.8122	1134.681678	3899.678075	721.7109274	5.14E-06	6.49E-05	0.437785925	0.000414978	0.001105527	0.179107689	0.034436499	NPX	EIF2S3	ENSG00000130741	protein_coding	chrX	24054946	24078810	ENSG00000130741	protein_coding
TBC1D8B	696.951669	60.98176662	-172.7301075	37.53344024	5.60E-05	0.000682194	0.449461983	0.000305867	0.000869171	-0.247836565	0.058055745	NPX	TBC1D8B	ENSG00000133138	protein_coding	chrX	106802673	106876150	ENSG00000133138	protein_coding
ALG13	1681.315926	106.4818149	273.8252365	60.21697396	6.58E-05	0.000774085	0.398266767	0.001099213	0.002515649	0.162863643	0.037271056	NPX	ALG13	ENSG00000101901	protein_coding	chrX	111665811	111760649	ENSG00000101901	protein_coding
PIN4	652.8201425	56.76099067	142.9129491	32.54185903	0.000104009	0.001182233	0.355405308	0.002879191	0.005809492	0.218916268	0.05335856	NPX	PIN4	ENSG00000102309	protein_coding	chrX	72181353	72302926	ENSG00000102309	protein_coding
P2RY10	4435.783959	475.8943848	1232.367308	285.4651516	0.000129367	0.001423037	0.473665151	0.000158175	0.000485926	0.277824015	0.070922474	NPX	P2RY10	ENSG00000078589	protein_coding	chrX	78945332	78963727	ENSG00000078589	protein_coding
BEX2	116.8069761	10.15776622	-27.67507265	6.592144097	0.00018283	0.001948282	0.380827687	0.001644691	0.003595126	-0.236929964	0.060079676	NPX	BEX2	ENSG00000133134	protein_coding	chrX	103309346	103311007	ENSG00000133134	protein_coding
CA5B	240.1759867	15.36225401	39.17845288	9.393841181	0.000198023	0.002046236	0.483064265	0.000121181	0.000401192	0.163123938	0.040480099	NPX	CA5B	ENSG00000169239	protein_coding	chrX	15688830	15788411	ENSG00000169239	protein_coding
F8	570.0715637	39.79023214	-95.24675393	23.17562653	0.000236134	0.002368281	0.414355485	0.000747173	0.001794269	-0.167078592	0.042293472	NPX	F8	ENSG00000185010	protein_coding	chrX	154835788	155026940	ENSG00000185010	protein_coding
USP9X	12359.2724	795.6510616	1240.833098	320.2597755	0.000463358	0.004514429	0.714749437	1.17E-08	1.54E-07	0.100396938	0.026706397	NPX	USP9X	ENSG00000124486	protein_coding	chrX	41085445	41236579	ENSG00000124486	protein_coding
HCCS	2108.262581	62.42202108	-133.39413	35.17659305	0.000585045	0.005541673	0.554430271	1.29E-05	5.81E-05	-0.063272066	0.01678995	NPX	HCCS	ENSG00000004961	protein_coding	chrX	11111301	11123086	ENSG00000004961	protein_coding
ZXDB	665.902184	41.35661971	79.64033676	21.09632922	0.000613871	0.005657564	0.634637779	5.98E-07	4.16E-06	0.119597651	0.032539914	NPX	ZXDB	ENSG00000198455	protein_coding	chrX	57592011	57597477	ENSG00000198455	protein_coding
CDK16	3344.271363	156.1086939	355.4504078	94.73030613	0.000654671	0.005874811	0.278981567	0.012953736	0.020835963	0.106286353	0.028757359	NPX	CDK16	ENSG00000102225	protein_coding	chrX	47217860	47229997	ENSG00000102225	protein_coding
MPP1	1140.39783	69.75444349	177.1376989	47.77741512	0.000742198	0.006489475	0.255487054	0.019567181	0.029837848	0.15532974	0.042959205	NPX	MPP1	ENSG00000130830	protein_coding	chrX	154778684	154821007	ENSG00000130830	protein_coding
ATP11C	4032.183774	228.5323616	-329.9332675	89.50989115	0.000788407	0.00672117	0.656362233	2.28E-07	1.81E-06	-0.081824958	0.022678113	NPX	ATP11C	ENSG00000101974	protein_coding	chrX	139726346	139945276	ENSG00000101974	protein_coding
IL3RA	1881.603218	289.8710128	623.1393281	169.9013022	0.000829898	0.006902325	0.356589788	0.002807009	0.005731676	0.331174672	0.10371275	PAR1	IL3RA	ENSG00000185291	protein_coding	chrX	1336616	1382689	ENSG00000185291	protein_coding
PDZD11	1453.137374	38.88959224	-79.44694849	21.96368397	0.000955235	0.007755598	0.559662956	1.08E-05	4.98E-05	-0.054672703	0.015185321	NPX	PDZD11	ENSG00000120509	protein_coding	chrX	70286595	70290514	ENSG00000120509	protein_coding
CD99	6892.336666	698.1362523	1305.162628	363.4818133	0.001028123	0.007961788	0.517005272	4.40E-05	0.000170343	0.189364317	0.056116958	PAR1	CD99	ENSG00000002586	protein_coding	chrX	2691187	2741309	ENSG00000002586	protein_coding
HPRT1	5918.677788	228.4364839	-403.5015235	112.2958424	0.001021079	0.007961788	0.528665071	3.04E-05	0.000124949	-0.068174268	0.019154715	NPX	HPRT1	ENSG00000165704	protein_coding	chrX	134460165	134520513	ENSG00000165704	protein_coding
TCEAL8	2455.949579	108.1853409	-124.4486957	34.7340801	0.001050676	0.007961788	0.764696898	5.23E-10	1.27E-08	-0.050672333	0.014317894	NPX	TCEAL8	ENSG00000180964	protein_coding	chrX	103252995	103255192	ENSG00000180964	protein_coding
BCOR	2584.020371	132.7251833	250.7747258	70.4895182	0.00112686	0.00835346	0.430934306	0.000494458	0.001269657	0.097048277	0.027730711	NPX	BCOR	ENSG00000183337	protein_coding	chrX	40049815	40177329	ENSG00000183337	protein_coding
RBMX2	1965.056794	56.96579362	-97.00572401	27.67589541	0.001302653	0.009451161	0.643651558	4.04E-07	2.93E-06	-0.049365354	0.014156537	NPX	RBMX2	ENSG00000134597	protein_coding	chrX	130401987	130413656	ENSG00000134597	protein_coding
MMGT1	2512.231872	126.146047	-207.3822539	60.49180664	0.001607756	0.011421768	0.503915823	6.56E-05	0.000240711	-0.08254901	0.024433073	NPX	MMGT1	ENSG00000169446	protein_coding	chrX	135960588	135974029	ENSG00000169446	protein_coding
ARMCX1	150.4781226	21.16740719	-41.72839755	12.29480229	0.001765154	0.011630281	0.440265705	0.00038921	0.001045044	-0.27730541	0.090538997	NPX	ARMCX1	ENSG00000126947	protein_coding	chrX	101550547	101554700	ENSG00000126947	protein_coding
CXorf38	4380.911758	197.8016573	422.4438001	124.5322093	0.001773533	0.011630281	0.284501384	0.011719064	0.019120578	0.096428283	0.028757582	NPX	CXorf38	ENSG00000185753	protein_coding	chrX	40626921	40647561	ENSG00000185753	protein_coding
SLC9A6	1346.116719	80.91992088	-107.3906622	31.47649224	0.001681733	0.011630281	0.660723172	1.86E-07	1.55E-06	-0.079778121	0.023869906	NPX	SLC9A6	ENSG00000198689	protein_coding	chrX	135973841	136047269	ENSG00000198689	protein_coding
USP11	2858.919605	97.24659898	-188.787489	55.64299542	0.001770692	0.011630281	0.428124783	0.000530875	0.001331091	-0.066034557	0.01959213	NPX	USP11	ENSG00000102226	protein_coding	chrX	47232866	47248328	ENSG00000102226	protein_coding
FAAH2	202.0226841	22.39373813	49.13714476	14.89121444	0.002277702	0.014654646	0.224334092	0.032691006	0.046053866	0.243225878	0.078486621	NPX	FAAH2	ENSG00000165591	protein_coding	chrX	57286706	57489193	ENSG00000165591	protein_coding
VAMP7	4338.042509	212.4889979	-232.7221224	71.0612093	0.002434535	0.015373636	0.742959013	2.19E-09	4.13E-08	-0.053646805	0.016590368	PAR2	VAMP7	ENSG00000124333	protein_coding	chrX	155881345	155943769	ENSG00000124333	protein_coding
TMEM164	1533.45593	81.01038381	142.4067621	44.10232651	0.002752909	0.017068035	0.505716527	6.22E-05	0.000232975	0.09286655	0.029175531	NPX	TMEM164	ENSG00000157600	protein_coding	chrX	110002631	110182734	ENSG00000157600	protein_coding
FTX	79.71728254	4.751450787	8.829738445	2.846582527	0.003853783	0.023466786	0.316971261	0.006334415	0.01153412	0.110763164	0.036313637	NPX	FTX	ENSG00000230590	lncRNA	chrX	73940435	74293574	ENSG00000230590	lincRNA
GLA	2139.653617	115.1161397	-248.3751703	80.80227295	0.004147112	0.024809915	0.167695197	0.075648559	0.093804214	-0.116081953	0.038277123	NPX	GLA	ENSG00000102393	protein_coding	chrX	101393273	101408012	ENSG00000102393	protein_coding
DNASE1L1	1129.887955	81.61721511	-143.1232368	46.70472993	0.004250612	0.02499067	0.311086438	0.007105433	0.012489447	-0.126670292	0.042336321	NPX	DNASE1L1	ENSG00000013563	protein_coding	chrX	154401236	154412112	ENSG00000013563	protein_coding
SMS	11544.07501	339.7226813	-613.7306306	201.0052033	0.004375714	0.025290142	0.464258188	0.000205299	0.00059328	-0.053164124	0.017482128	NPX	SMS	ENSG00000102172	protein_coding	chrX	21940709	21994837	ENSG00000102172	protein_coding
RP2	856.3969474	45.48886392	-64.91178611	21.410481	0.004627912	0.026301966	0.491302491	9.55E-05	0.000325547	-0.075796377	0.025322748	NPX	RP2	ENSG00000102218	protein_coding	chrX	46837043	46882358	ENSG00000102218	protein_coding
MAGEH1	845.6834302	35.13916894	66.59549792	22.38815151	0.00536615	0.02999766	0.213327812	0.038842188	0.052146402	0.07874755	0.026674885	NPX	MAGEH1	ENSG00000187601	protein_coding	chrX	55452127	55453566	ENSG00000187601	protein_coding
PGRMC1	2183.795769	93.91879497	-144.1715999	49.29207881	0.006097241	0.033534828	0.412499218	0.000781769	0.001851272	-0.066018811	0.022749618	NPX	PGRMC1	ENSG00000101856	protein_coding	chrX	119236245	119244466	ENSG00000101856	protein_coding
ATP7A	3857.365486	251.4745835	-366.1124849	128.1092788	0.007231274	0.037936378	0.448481881	0.0003139	0.000884628	-0.094912573	0.033783096	NPX	ATP7A	ENSG00000165240	protein_coding	chrX	77910656	78050395	ENSG00000165240	protein_coding
CMC4	1572.711544	73.11917104	-122.461068	42.8269122	0.007201531	0.037936378	0.330566261	0.004829722	0.00909909	-0.077866198	0.027470841	NPX	CMC4	ENSG00000182712	protein_coding	chrX	155061622	155071136	ENSG00000182712	protein_coding
GEMIN8	1061.339293	71.72598183	126.4881732	44.09776517	0.007040655	0.037936378	0.23163921	0.029082068	0.042021123	0.119177886	0.042322597	NPX	GEMIN8	ENSG00000046647	protein_coding	chrX	14006726	14029893	ENSG00000046647	protein_coding
SCML1	280.178624	44.73257136	-79.61241119	28.20154659	0.007895945	0.040795718	0.191415417	0.054011755	0.069765184	-0.284148769	0.110406805	NPX	SCML1	ENSG00000047634	protein_coding	chrX	17737449	17754988	ENSG00000047634	protein_coding
DLG3	488.4076192	49.43776742	77.3145327	27.49114268	0.008110037	0.041276459	0.38172795	0.001611449	0.003545189	0.158299194	0.058523578	NPX	DLG3	ENSG00000082458	protein_coding	chrX	70444835	70505490	ENSG00000082458	protein_coding
IL2RG	21062.52069	956.269536	1480.611567	532.7377426	0.008811302	0.044186085	0.390704095	0.001311644	0.002981803	0.070296029	0.025493724	NPX	IL2RG	ENSG00000147168	protein_coding	chrX	71107404	71112108	ENSG00000147168	protein_coding
FMR1	2807.599642	111.4312637	-174.6455414	63.02765413	0.008996194	0.044459453	0.31677416	0.006358987	0.01153412	-0.062204575	0.022584296	NPX	FMR1	ENSG00000102081	protein_coding	chrX	147911919	147951125	ENSG00000102081	protein_coding
GPR174	547.234121	96.64850975	161.7813893	58.93964051	0.009599573	0.046104991	0.343512897	0.003701536	0.007254159	0.295634689	0.119693215	NPX	GPR174	ENSG00000147138	protein_coding	chrX	79144688	79175318	ENSG00000147138	protein_coding
IL13RA1	502.7040558	43.26132684	-79.05159189	28.77176188	0.00953596	0.046104991	0.258658766	0.018531401	0.028854829	-0.157252743	0.058812119	NPX	IL13RA1	ENSG00000131724	protein_coding	chrX	118727133	118794535	ENSG00000131724	protein_coding
TRAPPC2	713.3342181	48.06275134	73.4590151	27.82629828	0.012429805	0.058868939	0.388962469	0.001365536	0.003066192	0.1029798	0.039621058	NPX	TRAPPC2	ENSG00000196459	protein_coding	chrX	13712244	13734635	ENSG00000196459	protein_coding
GK	1838.38354	80.69735306	-120.5544035	46.58071766	0.014096292	0.065134311	0.293536156	0.009919783	0.016420611	-0.065576307	0.025500851	NPX	GK	ENSG00000198814	protein_coding	chrX	30653359	30731462	ENSG00000198814	protein_coding
SASH3	14200.51437	387.2385437	677.8027746	262.0086542	0.014134719	0.065134311	0.078541991	0.223791481	0.249388545	0.047730861	0.018496498	NPX	SASH3	ENSG00000122122	protein_coding	chrX	129779949	129795201	ENSG00000122122	protein_coding
KLF8	646.7444282	44.85235281	-76.45684983	29.81040954	0.014910648	0.067793746	0.144897892	0.102575392	0.124036201	-0.118218026	0.046816485	NPX	KLF8	ENSG00000102349	protein_coding	chrX	56232356	56291531	ENSG00000102349	protein_coding
MOSPD1	624.6844489	24.55676709	-40.11543851	15.86474974	0.016261012	0.072960593	0.2110682	0.040218849	0.053572763	-0.064217124	0.025521578	NPX	MOSPD1	ENSG00000101928	protein_coding	chrX	134887632	134915257	ENSG00000101928	protein_coding
NKRF	2646.809097	79.22492527	-79.76130445	31.75467126	0.016925105	0.074177021	0.663821007	1.61E-07	1.41E-06	-0.030134891	0.012031201	NPX	NKRF	ENSG00000186416	protein_coding	chrX	119588337	119606443	ENSG00000186416	protein_coding
SPIN2B	163.856496	11.11203541	12.06161824	4.803982215	0.016967178	0.074177021	0.580092829	5.21E-06	2.58E-05	0.073610864	0.02974018	NPX	SPIN2B	ENSG00000186787	protein_coding	chrX	57118551	57121548	ENSG00000186787	protein_coding
JADE3	584.3552221	69.60878061	-111.7087407	44.98871933	0.018120444	0.078216096	0.137282931	0.113084482	0.135781016	-0.191165812	0.080285783	NPX	JADE3	ENSG00000102221	protein_coding	chrX	46912276	47061242	ENSG00000102221	protein_coding
EBP	2642.654891	122.2377301	-203.1318171	82.11279332	0.018519909	0.078941112	0.100830033	0.175258952	0.199877266	-0.07686657	0.031274847	NPX	EBP	ENSG00000147155	protein_coding	chrX	48521799	48528716	ENSG00000147155	protein_coding
ARMCX5	873.8573343	40.77587206	-59.0452265	23.94445824	0.018867952	0.079431749	0.302794001	0.008332482	0.014350386	-0.067568497	0.027581674	NPX	ARMCX5	ENSG00000125962	protein_coding	chrX	102599168	102604159	ENSG00000125962	protein_coding
ABCD1	438.9892684	27.90230881	40.92734324	16.64289351	0.019171622	0.079725892	0.257353955	0.018951619	0.02911037	0.093230851	0.038372164	NPX	ABCD1	ENSG00000101986	protein_coding	chrX	153724856	153744755	ENSG00000101986	protein_coding
MSL3	5020.456182	564.1808542	922.2132928	377.5876777	0.019942263	0.081931468	0.10889611	0.159718715	0.184624006	0.183691135	0.077991244	NPX	MSL3	ENSG00000005302	protein_coding	chrX	11758159	11775772	ENSG00000005302	protein_coding
CLCN5	488.6642778	33.02014878	-53.00531485	21.99809469	0.021534083	0.087418121	0.083271655	0.212795123	0.237911924	-0.108469797	0.045609574	NPX	CLCN5	ENSG00000171365	protein_coding	chrX	49922596	50099235	ENSG00000171365	protein_coding
HDAC6	2095.065596	62.45593778	83.18976737	34.67909549	0.022076973	0.087537765	0.354147331	0.002957669	0.00586375	0.039707476	0.01659502	NPX	HDAC6	ENSG00000094631	protein_coding	chrX	48801377	48824982	ENSG00000094631	protein_coding
SYAP1	4058.873836	200.6270636	256.6771727	106.8874833	0.021947326	0.087537765	0.433831767	0.000459295	0.001204766	0.06323852	0.026519137	NPX	SYAP1	ENSG00000169895	protein_coding	chrX	16719612	16765340	ENSG00000169895	protein_coding
HDX	301.5152888	21.53747863	-31.76159806	13.46857302	0.024255035	0.095068584	0.24384961	0.02380753	0.035144449	-0.105339925	0.045298931	NPX	HDX	ENSG00000165259	protein_coding	chrX	84317874	84502479	ENSG00000165259	protein_coding
SH3BGRL	10104.83079	558.4882082	-431.3357036	189.7924585	0.029485249	0.114255341	0.735771177	3.42E-09	5.53E-08	-0.042686089	0.01892994	NPX	SH3BGRL	ENSG00000131171	protein_coding	chrX	81202102	81298547	ENSG00000131171	protein_coding
ABCB7	3800.773751	134.1085528	-170.0501669	75.24026606	0.030334369	0.114933553	0.3631935	0.002433497	0.005029228	-0.044740934	0.019858886	NPX	ABCB7	ENSG00000131269	protein_coding	chrX	75051048	75156732	ENSG00000131269	protein_coding
PHF6	5243.30708	302.8206191	-267.7947737	118.3076743	0.030099254	0.114933553	0.648959552	3.19E-07	2.42E-06	-0.051073639	0.022755547	NPX	PHF6	ENSG00000156531	protein_coding	chrX	134373312	134428791	ENSG00000156531	protein_coding
ELF4	4978.082089	140.2632939	-205.9890659	91.47069725	0.03089477	0.11577051	0.087872279	0.202461395	0.22818084	-0.041379202	0.018411639	NPX	ELF4	ENSG00000102034	protein_coding	chrX	130063955	130110716	ENSG00000102034	protein_coding
NKAP	2554.282901	78.01720488	72.633372	32.55752124	0.032389102	0.120050911	0.613233692	1.46E-06	8.72E-06	0.028435915	0.012775804	NPX	NKAP	ENSG00000101882	protein_coding	chrX	119920672	119943751	ENSG00000101882	protein_coding
HDAC8	1083.994077	32.46512255	45.23564383	20.44168779	0.033719277	0.121664503	0.124492732	0.132592139	0.156992776	0.041730527	0.018899119	NPX	HDAC8	ENSG00000147099	protein_coding	chrX	72329516	72573101	ENSG00000147099	protein_coding
MAGED1	8779.882297	580.9771289	682.6677535	309.4763419	0.03425159	0.121664503	0.436267381	0.000431515	0.001140671	0.077753634	0.035621871	NPX	MAGED1	ENSG00000179222	protein_coding	chrX	51803007	51902354	ENSG00000179222	protein_coding
STK26	8088.015411	391.1709989	-437.9314357	198.0259624	0.033826669	0.121664503	0.427666158	0.000537046	0.001336735	-0.054145722	0.024623522	NPX	STK26	ENSG00000134602	protein_coding	chrX	132023302	132075943	ENSG00000134602	protein_coding
TMEM185A	970.1141609	73.76730909	-106.884209	48.37754747	0.033985978	0.121664503	0.041975359	0.321503294	0.343675935	-0.110176939	0.050566735	NPX	TMEM185A	ENSG00000269556	protein_coding	chrX	149596556	149631912	ENSG00000269556	protein_coding
MAP7D3	2025.015038	99.96907023	-95.58204352	44.58288512	0.039276285	0.135820634	0.608151531	1.79E-06	1.02E-05	-0.047200659	0.022139043	NPX	MAP7D3	ENSG00000129680	protein_coding	chrX	136213220	136256482	ENSG00000129680	protein_coding
PRICKLE3	1091.138865	40.17440428	-42.42045214	19.75239232	0.038959414	0.135820634	0.504170026	6.51E-05	0.000240711	-0.038877226	0.018159051	NPX	PRICKLE3	ENSG00000012211	protein_coding	chrX	49174802	49186528	ENSG00000012211	protein_coding
UPRT	1407.728795	69.03428802	-55.20107332	25.76942466	0.039431797	0.135820634	0.679442123	7.57E-08	7.59E-07	-0.039212861	0.0184064	NPX	UPRT	ENSG00000094841	protein_coding	chrX	75156388	75304885	ENSG00000094841	protein_coding
TBL1X	2798.588552	174.5768264	-246.2554959	115.9199529	0.040992964	0.139786009	0.054474844	0.28560709	0.309181009	-0.087992748	0.041782977	NPX	TBL1X	ENSG00000101849	protein_coding	chrX	9463320	9741037	ENSG00000101849	protein_coding
ATP6AP2	6284.608957	287.445311	-245.491448	117.0854477	0.043534943	0.146145796	0.617732048	1.21E-06	7.67E-06	-0.039062327	0.018715978	NPX	ATP6AP2	ENSG00000182220	protein_coding	chrX	40579372	40606848	ENSG00000182220	protein_coding
ITM2A	2880.124513	330.0091224	368.5415549	176.3128036	0.044143745	0.146145796	0.477433045	0.000142255	0.00044637	0.127960285	0.062948403	NPX	ITM2A	ENSG00000078596	protein_coding	chrX	79360384	79367667	ENSG00000078596	protein_coding
PLP2	3637.040452	332.7693973	-403.1991385	192.6696542	0.043912681	0.146145796	0.302281124	0.008414167	0.014418246	-0.11085913	0.053936597	NPX	PLP2	ENSG00000102007	protein_coding	chrX	49171898	49175235	ENSG00000102007	protein_coding
CHM	1897.842982	141.7947024	136.7164953	65.86454874	0.045552336	0.149060132	0.583368902	4.62E-06	2.32E-05	0.072037833	0.035119821	NPX	CHM	ENSG00000188419	protein_coding	chrX	85861180	86047561	ENSG00000188419	protein_coding
RPL10	98573.87055	7143.88712	5125.413696	2473.405177	0.045898281	0.149060132	0.729414083	5.02E-09	7.13E-08	0.051995662	0.025373271	NPX	RPL10	ENSG00000147403	protein_coding	chrX	154389955	154409168	ENSG00000147403	protein_coding
FAM156B	291.0343851	30.59590476	33.45850258	16.46228696	0.049979877	0.160784322	0.371863389	0.002011016	0.004233064	0.114964088	0.057841519	NPX	FAM156B	ENSG00000179304	protein_coding	chrX	52891306	52908560	ENSG00000179304	protein_coding
FAM120C	448.8561512	25.81363473	29.44897211	14.73431794	0.053690943	0.169524181	0.298304561	0.009071828	0.015238883	0.065608931	0.033042507	NPX	FAM120C	ENSG00000184083	protein_coding	chrX	54068324	54183281	ENSG00000184083	protein_coding
PLXNA3	1048.249857	99.55601576	93.13902964	46.50071195	0.053206095	0.169524181	0.520707325	3.92E-05	0.00015894	0.088851936	0.045155828	NPX	PLXNA3	ENSG00000130827	protein_coding	chrX	154458281	154477779	ENSG00000130827	protein_coding
NAA10	2815.093778	162.6521963	196.454341	98.6853488	0.054598948	0.170809554	0.15732377	0.087091323	0.10644495	0.069786073	0.035286922	NPX	NAA10	ENSG00000102030	protein_coding	chrX	153929225	153935080	ENSG00000102030	protein_coding
