gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	region	gene_name.104	gene_id.104	gene_type.104	chr	start	stop	gene_id.84	gene_type.84
RPS4X	70563.65192	5519.977409	36481.84938	6481.256021	2.00E-06	3.24E-05	0.563603465	3.28E-06	3.61E-05	0.517006254	0.100359773	NPX	RPS4X	ENSG00000198034	protein_coding	chrX	72255679	72277248	ENSG00000198034	protein_coding
PRKX	2889.414118	200.6954949	1085.115982	202.9183604	4.80E-06	7.44E-05	0.718973093	1.69E-09	3.85E-08	0.375548792	0.074916208	NPX	PRKX	ENSG00000183943	protein_coding	chrX	3604340	3713649	ENSG00000183943	protein_coding
FUNDC1	846.2707069	39.05353823	252.0229484	47.67943865	5.82E-06	8.62E-05	0.562282834	3.46E-06	3.68E-05	0.297804174	0.057992575	NPX	FUNDC1	ENSG00000069509	protein_coding	chrX	44523639	44542859	ENSG00000069509	protein_coding
PLCXD1	1152.157454	179.9197622	1068.9371	213.6357183	1.40E-05	0.000198236	0.486086479	4.90E-05	0.000340708	0.927769982	0.235311601	PAR1	PLCXD1	ENSG00000182378	protein_coding	chrX	276322	303356	ENSG00000182378	protein_coding
P2RY10	4422.608285	292.4765968	1538.624439	313.8294101	1.90E-05	0.000259763	0.521011185	1.55E-05	0.000131784	0.347899778	0.074596893	NPX	P2RY10	ENSG00000078589	protein_coding	chrX	78945332	78963727	ENSG00000078589	protein_coding
MSL3	4499.643708	738.7595209	3556.117082	797.253273	7.36E-05	0.00096569	0.408418512	0.000463494	0.002187512	0.790310814	0.219612209	NPX	MSL3	ENSG00000005302	protein_coding	chrX	11758159	11775772	ENSG00000005302	protein_coding
ASMTL	2467.113358	283.4986345	1407.575271	323.3581417	0.000101866	0.001286533	0.329641609	0.003135029	0.010085329	0.570535305	0.146549942	PAR1	ASMTL	ENSG00000169093	protein_coding	chrX	1403139	1453762	ENSG00000169093	protein_coding
PLP2	3912.673065	244.7330221	-1056.198497	251.0339633	0.000157643	0.001824437	0.331404074	0.003014446	0.009856803	-0.269942947	0.066343746	NPX	PLP2	ENSG00000102007	protein_coding	chrX	49171898	49175235	ENSG00000102007	protein_coding
STS	2923.267006	427.11234	2191.957724	521.7258021	0.000160508	0.001824437	0.346938618	0.002119136	0.007390868	0.749831514	0.209416772	NPX	STS	ENSG00000101846	protein_coding	chrX	7147237	7804358	ENSG00000101846	protein_coding
UBA1	16531.11544	735.6576422	2833.492863	671.4296844	0.000151776	0.001824437	0.617373585	3.55E-07	4.66E-06	0.17140361	0.041326149	NPX	UBA1	ENSG00000130985	protein_coding	chrX	47190861	47215128	ENSG00000130985	protein_coding
IL3RA	727.4822007	169.7933679	798.3589918	192.2783424	0.000185887	0.002044753	0.388888145	0.000768411	0.003131198	1.097427526	0.368055304	PAR1	IL3RA	ENSG00000185291	protein_coding	chrX	1336616	1382689	ENSG00000185291	protein_coding
TRAPPC2	702.6206616	39.39343423	152.6745303	37.87263304	0.000265914	0.002833648	0.544436614	6.73E-06	6.75E-05	0.21729297	0.055261589	NPX	TRAPPC2	ENSG00000196459	protein_coding	chrX	13712244	13734635	ENSG00000196459	protein_coding
MPP1	849.1506563	75.05621167	344.9958191	89.1623714	0.000427538	0.004417898	0.35849233	0.001617603	0.00593121	0.406283404	0.11097299	NPX	MPP1	ENSG00000130830	protein_coding	chrX	154778684	154821007	ENSG00000130830	protein_coding
FTX	82.81174496	5.809002861	20.58063301	5.412563283	0.000519263	0.005207907	0.372614022	0.001151822	0.004269252	0.248523117	0.067644849	NPX	FTX	ENSG00000230590	lncRNA	chrX	73940435	74293574	ENSG00000230590	lincRNA
GPR174	294.8351547	72.87425015	334.1226847	88.62898679	0.000570402	0.005557343	0.378034208	0.001008186	0.003819904	1.133252529	0.410880216	NPX	GPR174	ENSG00000147138	protein_coding	chrX	79144688	79175318	ENSG00000147138	protein_coding
ZNF711	435.6098618	38.98681692	-167.3207964	45.00879498	0.000663328	0.006283188	0.306346169	0.005190891	0.014391006	-0.384106998	0.108892495	NPX	ZNF711	ENSG00000147180	protein_coding	chrX	85243991	85273362	ENSG00000147180	protein_coding
MED14	4539.547334	236.9473382	975.0737842	264.1731872	0.000715696	0.006596006	0.454154243	0.000129553	0.000803229	0.214795378	0.059263885	NPX	MED14	ENSG00000180182	protein_coding	chrX	40648305	40735858	ENSG00000180182	protein_coding
BEX2	223.2665373	22.56908611	-92.17297691	26.23442377	0.001185444	0.010105913	0.221123969	0.02660466	0.051238016	-0.412838296	0.124693449	NPX	BEX2	ENSG00000133134	protein_coding	chrX	103309346	103311007	ENSG00000133134	protein_coding
TCEANC	171.2197639	8.511021537	32.97354076	9.368322723	0.00116477	0.010105913	0.385097193	0.000845498	0.003355151	0.192580226	0.055546298	NPX	TCEANC	ENSG00000176896	protein_coding	chrX	13653189	13681964	ENSG00000176896	protein_coding
CXorf38	3978.712856	192.4956305	742.3145218	210.7149808	0.001154471	0.010105913	0.41660733	0.000372473	0.001788921	0.186571524	0.053724328	NPX	CXorf38	ENSG00000185753	protein_coding	chrX	40626921	40647561	ENSG00000185753	protein_coding
PDZD11	1544.564536	52.16332279	-193.8830984	57.68199205	0.001812785	0.015077064	0.211761623	0.031236009	0.056656804	-0.125526059	0.037584993	NPX	PDZD11	ENSG00000120509	protein_coding	chrX	70286595	70290514	ENSG00000120509	protein_coding
USP9X	11537.03876	758.9881141	2241.942654	686.9565516	0.002371073	0.019250854	0.633358633	1.71E-07	2.43E-06	0.194325659	0.060900502	NPX	USP9X	ENSG00000124486	protein_coding	chrX	41085445	41236579	ENSG00000124486	protein_coding
TBL1X	2772.721104	159.1276678	-595.43098	190.5704716	0.003455425	0.027402327	0.089103598	0.184316533	0.243612162	-0.214746077	0.069826714	NPX	TBL1X	ENSG00000101849	protein_coding	chrX	9463320	9741037	ENSG00000101849	protein_coding
TBC1D8B	1060.036216	74.1333281	-245.5459741	79.48241704	0.003796053	0.029419409	0.388738847	0.000771321	0.003131198	-0.231639231	0.076710858	NPX	TBC1D8B	ENSG00000133138	protein_coding	chrX	106802673	106876150	ENSG00000133138	protein_coding
CASK	654.8954004	131.886578	474.7944266	156.2444988	0.004341553	0.032469867	0.236444131	0.020299069	0.042728288	0.724992764	0.279708816	NPX	CASK	ENSG00000147044	protein_coding	chrX	41514934	41923554	ENSG00000147044	protein_coding
CHM	1981.471523	107.4992285	356.6456584	117.4934248	0.004380099	0.032469867	0.290239813	0.007246767	0.018580057	0.179990302	0.060094706	NPX	CHM	ENSG00000188419	protein_coding	chrX	85861180	86047561	ENSG00000188419	protein_coding
CD99	2896.099086	408.5219889	1263.932633	418.2798971	0.004541807	0.032952261	0.589217996	1.19E-06	1.44E-05	0.436425894	0.157001697	PAR1	CD99	ENSG00000002586	protein_coding	chrX	2691187	2741309	ENSG00000002586	protein_coding
ALG13	1603.837918	115.391539	409.2094793	138.7123166	0.005482645	0.038949624	0.234779314	0.020914649	0.043487167	0.255143911	0.088414387	NPX	ALG13	ENSG00000101901	protein_coding	chrX	111665811	111760649	ENSG00000101901	protein_coding
RPGR	515.4503407	26.16947525	78.33607168	26.97876371	0.006186828	0.043055276	0.425412433	0.000293107	0.001514387	0.151975982	0.052905847	NPX	RPGR	ENSG00000156313	protein_coding	chrX	38269163	38327544	ENSG00000156313	protein_coding
SYAP1	3643.413746	211.7705895	666.5265911	233.4448705	0.007011103	0.047815721	0.380298711	0.000953163	0.003652005	0.182940132	0.064949444	NPX	SYAP1	ENSG00000169895	protein_coding	chrX	16719612	16765340	ENSG00000169895	protein_coding
OFD1	2156.228595	132.5294019	443.8901422	157.5993494	0.007740297	0.051753751	0.313194476	0.004487799	0.012968979	0.205864139	0.074177427	NPX	OFD1	ENSG00000046651	protein_coding	chrX	13734743	13777955	ENSG00000046651	protein_coding
YIPF6	1498.281295	49.37222092	-140.8405139	50.21969371	0.007982742	0.052348367	0.320815717	0.003806708	0.011487498	-0.094001383	0.033661029	NPX	YIPF6	ENSG00000181704	protein_coding	chrX	68498562	68537282	ENSG00000181704	protein_coding
SLC35A2	1258.987368	41.51210679	-136.7071757	50.86747114	0.010722948	0.068991045	0.148305576	0.084358486	0.128996609	-0.108585026	0.040561805	NPX	SLC35A2	ENSG00000102100	protein_coding	chrX	48903180	48911958	ENSG00000102100	protein_coding
MBTPS2	1582.716595	66.36458164	128.4624454	48.64091868	0.012035936	0.076004705	0.654385727	6.20E-08	9.19E-07	0.081165792	0.030920422	NPX	MBTPS2	ENSG00000012174	protein_coding	chrX	21839617	21885423	ENSG00000012174	protein_coding
RP2	1022.398535	52.09934756	-141.3050526	53.67320757	0.012286794	0.076178125	0.239574812	0.019184013	0.040885927	-0.138209365	0.052967661	NPX	RP2	ENSG00000102218	protein_coding	chrX	46837043	46882358	ENSG00000102218	protein_coding
KLF8	750.7902471	53.76190264	-174.4265308	66.49497016	0.012579472	0.076599997	0.079204416	0.20719802	0.267630776	-0.232323917	0.090115524	NPX	KLF8	ENSG00000102349	protein_coding	chrX	56232356	56291531	ENSG00000102349	protein_coding
MAP7D2	90.74119158	148.0981813	480.38423	184.5961084	0.013240103	0.079208333	0.096993332	0.167430828	0.226563144	5.294003987	8.876567804	NPX	MAP7D2	ENSG00000184368	protein_coding	chrX	20006713	20116907	ENSG00000184368	protein_coding
GEMIN8	1037.565637	50.71059495	157.7230616	62.1991118	0.015574904	0.091569695	0.122132456	0.121247031	0.170848088	0.152012611	0.060405795	NPX	GEMIN8	ENSG00000046647	protein_coding	chrX	14006726	14029893	ENSG00000046647	protein_coding
RAB33A	1304.073478	55.16420759	-140.114333	55.63213315	0.016236178	0.093839604	0.251024541	0.0155473	0.034651172	-0.107443588	0.042901705	NPX	RAB33A	ENSG00000134594	protein_coding	chrX	130171962	130184870	ENSG00000134594	protein_coding
EBP	2940.437913	128.8058661	-337.1903831	136.5683552	0.018289022	0.103592705	0.223374156	0.025584104	0.049852453	-0.114673526	0.046715761	NPX	EBP	ENSG00000147155	protein_coding	chrX	48521799	48528716	ENSG00000147155	protein_coding
TCEAL8	2730.531809	92.8876502	-236.0442078	95.81607711	0.018531246	0.103592705	0.247255681	0.016671405	0.036441982	-0.08644624	0.035213636	NPX	TCEAL8	ENSG00000180964	protein_coding	chrX	103252995	103255192	ENSG00000180964	protein_coding
CYSLTR1	1098.219546	77.11462186	-219.4615242	89.91766634	0.019565965	0.107379401	0.064143396	0.245703037	0.308648597	-0.199833927	0.083069552	NPX	CYSLTR1	ENSG00000173198	protein_coding	chrX	78271468	78327691	ENSG00000173198	protein_coding
MID1IP1	4105.801729	403.6747864	1069.440919	439.2192283	0.019838423	0.107379401	0.216760831	0.02868373	0.053798111	0.260470668	0.109997854	NPX	MID1IP1	ENSG00000165175	protein_coding	chrX	38801432	38806537	ENSG00000165175	protein_coding
DNASE1L1	1204.157583	66.07505353	-200.7139929	82.81833952	0.020377831	0.108575629	0.050314715	0.28500067	0.345854906	-0.166684158	0.069382498	NPX	DNASE1L1	ENSG00000013563	protein_coding	chrX	154401236	154412112	ENSG00000013563	protein_coding
PORCN	617.2513814	22.47028421	-51.58440258	21.47611816	0.021444024	0.112498648	0.41732728	0.000365311	0.001779589	-0.083571142	0.034925903	NPX	PORCN	ENSG00000102312	protein_coding	chrX	48508959	48520814	ENSG00000102312	protein_coding
HDX	328.1800965	25.33089345	-73.27821443	30.83509963	0.022766817	0.117628554	0.044721084	0.301953907	0.361285201	-0.223286589	0.095525444	NPX	HDX	ENSG00000165259	protein_coding	chrX	84317874	84502479	ENSG00000165259	protein_coding
WWC3	1088.177632	195.2131109	529.1350663	226.572789	0.025053968	0.127513479	0.237683178	0.019851198	0.042045084	0.486257988	0.225747872	NPX	WWC3	ENSG00000047644	protein_coding	chrX	10015254	10144474	ENSG00000047644	protein_coding
ARAF	4456.797602	128.0472767	-300.2499166	132.5250237	0.029418198	0.147523612	0.332557398	0.002937816	0.009805669	-0.067368982	0.029798411	NPX	ARAF	ENSG00000078061	protein_coding	chrX	47561205	47571908	ENSG00000078061	protein_coding
TMEM164	1649.677696	118.432377	296.6995372	132.8978262	0.031715188	0.15673738	0.125362566	0.11610976	0.167768763	0.179853033	0.081588048	NPX	TMEM164	ENSG00000157600	protein_coding	chrX	110002631	110182734	ENSG00000157600	protein_coding
ARMCX1	249.7544558	37.51918325	-102.220579	46.37423143	0.03380537	0.160105987	0.062763661	0.249454838	0.310452919	-0.409284306	0.195594318	NPX	ARMCX1	ENSG00000126947	protein_coding	chrX	101550547	101554700	ENSG00000126947	protein_coding
ZNF75D	572.6704756	27.84699202	67.82852761	30.72397982	0.033546284	0.160105987	0.149843361	0.082509502	0.126737568	0.118442508	0.053958622	NPX	ZNF75D	ENSG00000186376	protein_coding	chrX	135248920	135344109	ENSG00000186376	protein_coding
RAB9A	3619.437299	305.1603872	782.9772083	354.8766362	0.033647401	0.160105987	0.294228481	0.006679522	0.017387154	0.216325673	0.099729417	NPX	RAB9A	ENSG00000123595	protein_coding	chrX	13689128	13710504	ENSG00000123595	protein_coding
ZC4H2	655.1904323	35.04736786	-89.46351311	40.75745228	0.034513634	0.161221224	0.05075193	0.283700954	0.345854906	-0.136545817	0.062634372	NPX	ZC4H2	ENSG00000126970	protein_coding	chrX	64915802	65034713	ENSG00000126970	protein_coding
ARHGEF6	2797.658854	185.519957	437.9790474	200.1566935	0.035046992	0.161500327	0.440456047	0.000192462	0.001103794	0.156551985	0.072293618	NPX	ARHGEF6	ENSG00000129675	protein_coding	chrX	136665547	136780932	ENSG00000129675	protein_coding
GDI1	6480.93826	201.5210516	-341.5491908	158.8545625	0.038153838	0.173472785	0.661358148	4.36E-08	6.77E-07	-0.052700578	0.024565761	NPX	GDI1	ENSG00000203879	protein_coding	chrX	154436913	154443467	ENSG00000203879	protein_coding
PPP1R3F	281.2832059	11.8096784	-23.51083752	10.97805192	0.038875186	0.17442682	0.440137047	0.000194216	0.001103794	-0.083584221	0.039185918	NPX	PPP1R3F	ENSG00000049769	protein_coding	chrX	49269793	49301461	ENSG00000049769	protein_coding
IRAK1	5112.099667	240.5461814	440.8486891	208.8949704	0.041646609	0.184434982	0.45004247	0.000146089	0.000889575	0.086236325	0.041063832	NPX	IRAK1	ENSG00000184216	protein_coding	chrX	154010506	154019902	ENSG00000184216	protein_coding
TRO	513.701372	41.05022368	-102.4585038	49.36809838	0.044955883	0.189258719	0.110019049	0.14209415	0.196170466	-0.19945149	0.09741541	NPX	TRO	ENSG00000067445	protein_coding	chrX	54920462	54931431	ENSG00000067445	protein_coding
PHKA2	1661.565043	52.86736896	118.0053615	56.7177402	0.044452433	0.189258719	0.216428783	0.028847518	0.053798111	0.071020609	0.034209845	NPX	PHKA2	ENSG00000044446	protein_coding	chrX	18892298	18984114	ENSG00000044446	protein_coding
HMGN5	1923.235998	148.2008677	-300.9222273	144.8567285	0.044762677	0.189258719	0.2922887	0.006950248	0.017954807	-0.156466615	0.0762782	NPX	HMGN5	ENSG00000198157	protein_coding	chrX	81113699	81201913	ENSG00000198157	protein_coding
BCOR	2261.837014	150.9169776	304.2219099	145.4023254	0.043331628	0.189258719	0.508949418	2.33E-05	0.000184586	0.134502136	0.064908465	NPX	BCOR	ENSG00000183337	protein_coding	chrX	40049815	40177329	ENSG00000183337	protein_coding
ARMCX6	1643.863764	53.10526845	-118.1779334	57.252306	0.046066884	0.191570821	0.183660506	0.049482852	0.083121441	-0.071890345	0.034905237	NPX	ARMCX6	ENSG00000198960	protein_coding	chrX	101615118	101618001	ENSG00000198960	protein_coding
MAGED2	4520.138606	233.8921094	-560.3264339	277.2595868	0.050565999	0.205273875	0.039504947	0.318299121	0.375570935	-0.123962224	0.061673207	NPX	MAGED2	ENSG00000102316	protein_coding	chrX	54807599	54816015	ENSG00000102316	protein_coding
VAMP7	4573.023133	171.3867797	-284.648664	140.6553672	0.050264787	0.205273875	0.503617741	2.78E-05	0.000215339	-0.062245183	0.030845972	PAR2	VAMP7	ENSG00000124333	protein_coding	chrX	155881345	155943769	ENSG00000124333	protein_coding
TMSB15B	257.4327725	25.8879659	56.53255198	28.08643014	0.051454928	0.205916476	0.145669453	0.087605767	0.132771406	0.219601224	0.111314551	NPX	TMSB15B	ENSG00000158427	protein_coding	chrX	103918896	103966712	ENSG00000158427	protein_coding
USP11	2883.546954	118.0973802	-229.3793768	114.2049446	0.051932014	0.205916476	0.314717224	0.004343575	0.012659479	-0.079547648	0.039739488	NPX	USP11	ENSG00000102226	protein_coding	chrX	47232866	47248328	ENSG00000102226	protein_coding
CDKL5	919.1425439	122.2349419	-276.8865204	141.2429028	0.057516594	0.221667901	0.026295897	0.361918325	0.421208699	-0.301244374	0.158804423	NPX	CDKL5	ENSG00000008086	protein_coding	chrX	18425583	18653629	ENSG00000008086	protein_coding
AMER1	875.7110067	51.7105069	122.9384297	62.92879102	0.058339353	0.221667901	0.135745778	0.100741182	0.150669925	0.140386987	0.072336804	NPX	AMER1	ENSG00000184675	protein_coding	chrX	64185117	64205708	ENSG00000184675	protein_coding
ARMCX5	978.5475091	33.61692877	-75.20877028	38.47506279	0.058200953	0.221667901	0.232440742	0.021806695	0.044759657	-0.076857556	0.039407098	NPX	ARMCX5	ENSG00000125962	protein_coding	chrX	102599168	102604159	ENSG00000125962	protein_coding
RBMX2	1897.502612	60.86704613	-120.9302211	61.94351695	0.058504725	0.221667901	0.232780927	0.021674916	0.044759657	-0.063731254	0.032708709	NPX	RBMX2	ENSG00000134597	protein_coding	chrX	130401987	130413656	ENSG00000134597	protein_coding
RLIM	3704.226997	215.8748156	-365.1543324	190.1525962	0.062550443	0.234392319	0.426807848	0.000282061	0.001479735	-0.098577742	0.051654411	NPX	RLIM	ENSG00000131263	protein_coding	chrX	74582976	74614624	ENSG00000131263	protein_coding
MSN	54270.89213	2085.666778	3958.466082	2073.399973	0.064019044	0.237287979	0.389452144	0.000757507	0.003131198	0.072939027	0.038307336	NPX	MSN	ENSG00000147065	protein_coding	chrX	65588377	65741931	ENSG00000147065	protein_coding
TCEAL4	2437.331092	104.646625	-226.0656799	121.0356965	0.069731679	0.252962792	0.040968918	0.313660057	0.371892613	-0.092751322	0.049818529	NPX	TCEAL4	ENSG00000133142	protein_coding	chrX	103576231	103587729	ENSG00000133142	protein_coding
CA5B	261.0709211	13.72547169	28.57069927	15.29357711	0.069675929	0.252962792	0.244985953	0.017382104	0.037753486	0.109436544	0.058862026	NPX	CA5B	ENSG00000169239	protein_coding	chrX	15688830	15788411	ENSG00000169239	protein_coding
PQBP1	2782.334937	116.8864708	-231.7450336	125.4061771	0.07261466	0.26064841	0.204853188	0.03508131	0.062305868	-0.083291566	0.045207898	NPX	PQBP1	ENSG00000102103	protein_coding	chrX	48890197	48903143	ENSG00000102103	protein_coding
PSMD10	3768.836175	101.327763	-194.2950861	105.9371896	0.074697619	0.265332169	0.227394669	0.023844538	0.047680593	-0.051553073	0.02814288	NPX	PSMD10	ENSG00000101843	protein_coding	chrX	108084207	108091549	ENSG00000101843	protein_coding
RPS6KA3	4923.28588	212.889921	395.0478565	216.8540406	0.076589209	0.269246601	0.319422574	0.003923802	0.011634927	0.08024069	0.044183058	NPX	RPS6KA3	ENSG00000177189	protein_coding	chrX	20149911	20267519	ENSG00000177189	protein_coding
MOSPD1	639.8346104	27.14003191	-56.27592231	31.16277718	0.079079361	0.275163899	0.028359492	0.354900239	0.414455416	-0.087953858	0.048847105	NPX	MOSPD1	ENSG00000101928	protein_coding	chrX	134887632	134915257	ENSG00000101928	protein_coding
PDHA1	6690.714175	272.9456619	-410.7536487	230.7975381	0.083337722	0.287052153	0.470832522	7.86E-05	0.000518901	-0.0613916	0.034585998	NPX	PDHA1	ENSG00000131828	protein_coding	chrX	19343893	19361718	ENSG00000131828	protein_coding
CMC4	1605.858178	66.87832778	-133.711186	75.43175734	0.084526967	0.288236958	0.092905401	0.176032063	0.235399739	-0.083264629	0.047100687	NPX	CMC4	ENSG00000182712	protein_coding	chrX	155061622	155071136	ENSG00000182712	protein_coding
RNF113A	1776.683665	70.05425624	-120.6013142	68.23673976	0.085409314	0.28836214	0.301645279	0.005728948	0.01538245	-0.067880015	0.03849995	NPX	RNF113A	ENSG00000125352	protein_coding	chrX	119870475	119871733	ENSG00000125352	protein_coding
IGBP1	6679.65652	294.0454733	-560.5164953	321.3903846	0.089456649	0.299065856	0.123816375	0.118547272	0.16895468	-0.08391397	0.0482564	NPX	IGBP1	ENSG00000089289	protein_coding	chrX	70133447	70166324	ENSG00000089289	protein_coding
IDH3G	3554.754759	118.751696	-217.4531653	126.5959921	0.094212462	0.311907278	0.224719351	0.02499027	0.049220566	-0.06117248	0.035671727	NPX	IDH3G	ENSG00000067829	protein_coding	chrX	153785766	153794523	ENSG00000067829	protein_coding
ATP6AP1	3619.529152	168.6134115	-277.7837511	165.6579496	0.10200191	0.33444857	0.331097941	0.003035086	0.009856803	-0.076745825	0.045907242	NPX	ATP6AP1	ENSG00000071553	protein_coding	chrX	154428633	154436516	ENSG00000071553	protein_coding
MED12	3110.590391	167.149786	310.3037045	185.743351	0.103239074	0.335281184	0.247976193	0.016451171	0.036192577	0.099757173	0.059953342	NPX	MED12	ENSG00000184634	protein_coding	chrX	71118556	71142454	ENSG00000184634	protein_coding
NDUFB11	4197.272425	208.086521	-385.1566377	231.2365667	0.104231369	0.335310349	0.163989268	0.066995049	0.106753792	-0.091763555	0.055279619	NPX	NDUFB11	ENSG00000147123	protein_coding	chrX	47142216	47145038	ENSG00000147123	protein_coding
BEX5	95.22419587	15.87613534	-30.91119594	18.90822246	0.11057147	0.352381974	0.015158509	0.401014498	0.455819813	-0.324614933	0.205808817	NPX	BEX5	ENSG00000184515	protein_coding	chrX	102153708	102155977	ENSG00000184515	protein_coding
ZNF449	220.8301288	10.93275019	-20.30557235	12.54280595	0.11396239	0.359825693	0.097360311	0.166674099	0.22643772	-0.091951096	0.056980571	NPX	ZNF449	ENSG00000173275	protein_coding	chrX	135344796	135363413	ENSG00000173275	protein_coding
APOOL	1781.879162	64.15281392	-103.0421024	64.0409041	0.11611589	0.363261636	0.267804899	0.011308932	0.02730274	-0.057827772	0.036000346	NPX	APOOL	ENSG00000155008	protein_coding	chrX	85003877	85093316	ENSG00000155008	protein_coding
