Gene	gene_id	type	chr	start	stop	gene_name.84	gene_id.84	gene_type.84	Balaton.consensus.calls	Carrel_hybrids	Carrel_SNPs	Cotton_AI	Cotton_DNAm	Balaton_only_methylation_data	num_inf_females	pct_females_escape	Cotton_XCI_status	Cotton_AR	Cotton_AR_SD	Cotton_95ci_lo	Cotton_Esc_myCall	total_count	Tuk_Skew_AR	Tuk_skew_padj	Y014	Y035	Y117	Tuk_SC_inf_samples	Tuk_SC_sig_samples	Tuk_SC_pct_sig	Tuk_AR	Tuk_myCall	Garieri_XCI_status	num_inf_samples	num_sig_samples	pct_sig_samples	Garieri_AR	Garieri_myCall	Sauteraud_AR	Sauteraud_XCI.status	Sauteraud_AR_p.adj	Sauteraud_myCall	Avg_AR	num_studies_XCI_calls	num_studies_Esc	pct_studies_Esc	num_studies_Subject	pct_studies_Subject	Final_XCI_Call	Diff_from_Balaton
ARHGAP6	ENSG00000047648	protein_coding	chrX	11117651	11665920	ARHGAP6	ENSG00000047648	protein_coding	Mostly S	0.11	E	S	S or S+U and VE and U	FALSE	73	0.0958904109589041	subject	0.0396260273972603	0.0839882978412887	0.0203590574056866	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	3	0	0	0.00126478087169501	Subject	NA	NA	NA	NA	0.0204454041344777	2	0	0	2	1	Subject	FALSE
ARHGEF6	ENSG00000129675	protein_coding	chrX	136665547	136780932	ARHGEF6	ENSG00000129675	protein_coding	S	0	NA	S	all F S or S+U	FALSE	40	0.05	subject	0.0292375	0.0661976050674544	0.0087226496491769	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0292375	1	0	0	1	1	Subject	FALSE
ARHGEF9	ENSG00000131089	protein_coding	chrX	63634967	63809274	ARHGEF9	ENSG00000131089	protein_coding	S	NA	NA	NA	all F S or S+U	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	No call	TRUE
ARMCX1	ENSG00000126947	protein_coding	chrX	101550547	101554700	ARMCX1	ENSG00000126947	protein_coding	S	0.11	NA	NA	all F S or S+U	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	3	0	0	0.00336468838823079	Subject	NA	NA	NA	NA	0.00336468838823079	1	0	0	1	1	Subject	FALSE
ARMCX2	ENSG00000184867	protein_coding	chrX	101655281	101659850	ARMCX2	ENSG00000184867	protein_coding	S	0.11	NA	NA	all F S or S+U	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0	0	0	Subject	NA	NA	NA	NA	NA	NA	0.0442965056617202	S	0.127541522757134	Subject	0.0221482528308601	2	0	0	2	1	Subject	FALSE
ARMCX3	ENSG00000102401	protein_coding	chrX	101622797	101627843	ARMCX3	ENSG00000102401	protein_coding	S	0	S	NA	all F S or S+U	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0248881116054581	S	0.0705936640333156	Subject	0.0248881116054581	1	0	0	1	1	Subject	FALSE
ARMCX4	ENSG00000196440	protein_coding	chrX	101418287	101533459	ARMCX4	ENSG00000196440	protein_coding	Mostly S	0.33	NA	S	all F S or S+U	FALSE	36	0.0833333333333333	subject	0.0580222222222222	0.104641333300568	0.0238393866773699	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	2	0	0	0.00112854147540264	Subject	NA	NA	NA	NA	0.0295753818488124	2	0	0	2	1	Subject	FALSE
ARMCX5	ENSG00000125962	protein_coding	chrX	102599168	102604159	ARMCX5	ENSG00000125962	protein_coding	S	0	NA	NA	all F S or S+U	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	Subject	FALSE
ARMCX6	ENSG00000198960	protein_coding	chrX	101615118	101618001	ARMCX6	ENSG00000198960	protein_coding	S	0	NA	NA	all F S or S+U	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	Subject	FALSE
ARSD	ENSG00000006756	protein_coding	chrX	2903972	2929349	ARSD	ENSG00000006756	protein_coding	Mostly E	1	E	VE	all F E or E+U	FALSE	42	0.619047619047619	variable escape	0.287652380952381	0.254200329333416	0.210773414692259	Escape	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	escapee , robust set	2	2	1	0.271353199257124	Escape	NA	NA	NA	NA	0.279502790104752	2	2	1	0	0	Escape	FALSE
ASMTL	ENSG00000169093	protein_coding	chrX	1403139	1453762	ASMTL	ENSG00000169093	protein_coding	PAR	1	NA	E	NA	FALSE	18	1	escape	0.654266666666667	0.153370362962647	0.583413173859833	Escape	230	0.854838709677419	7.25286668239057e-103	0.36986301369863	0.910714285714286	0.886904761904762	3	3	1	0.755580192748774	Escape	inactivated gene	4	4	1	0.619120420174023	Escape	0.681059612642366	E	3.0460632586468e-41	Escape	0.677506723057958	4	4	1	0	0	Escape	FALSE
ATG4A	ENSG00000101844	protein_coding	chrX	108091668	108154671	ATG4A	ENSG00000101844	protein_coding	Mostly S	0.11	NA	S	S or S+U and VE	FALSE	25	0.04	subject	0.035064	0.138101882318816	-0.0190719378689757	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.035064	1	0	0	1	1	Subject	FALSE
ATP11C	ENSG00000101974	protein_coding	chrX	139726346	139945276	ATP11C	ENSG00000101974	protein_coding	S	0.11	NA	S	NA	FALSE	31	0.032258064516129	subject	0.0171193548387097	0.0434897184734878	0.0018098261565889	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	2	0	0	0.00430471412361133	Subject	0.0163549892978291	S	0.33388626311849	Subject	0.01259301942005	3	0	0	3	1	Subject	FALSE
ATP6AP1	ENSG00000071553	protein_coding	chrX	154428633	154436516	ATP6AP1	ENSG00000071553	protein_coding	S	0	S	S	all F S	FALSE	11	0.0909090909090909	subject	0.0513545454545455	0.0658628630358014	0.012432080686881	Subject	164	0.0186335403726708	1	0	NA	0.004	2	0	0	0.00754451345755694	Subject	NA	NA	NA	NA	NA	NA	0.0175567629348907	S	0.0783930139034785	Subject	0.0254852739489977	3	0	0	3	1	Subject	FALSE
ATP6AP2	ENSG00000182220	protein_coding	chrX	40579372	40606848	ATP6AP2	ENSG00000182220	protein_coding	Mostly S	0.11	NA	S	S or S+U and VE and U	FALSE	10	0	subject	0.02793	0.0494517958330242	-0.00272054060672412	Subject	245	0.00823045267489712	1	0.0655737704918033	0	0.0035056967572305	3	1	0.333333333333333	0.0193274799809827	Escape	inactivated gene	3	0	0	0.00208907672787717	Subject	0.00454113470782708	S	0.335050239543553	Subject	0.0134719228541717	4	1	0.25	3	0.75	Subject	FALSE
ATP7A	ENSG00000165240	protein_coding	chrX	77910656	78050395	ATP7A	ENSG00000165240	protein_coding	Mostly S	0.44	S	NA	all F S or S+U	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0606409831162261	S	0.145997548433373	Subject	0.0606409831162261	1	0	0	1	1	Subject	FALSE
ATRX	ENSG00000085224	protein_coding	chrX	77504880	77786233	ATRX	ENSG00000085224	protein_coding	S	0	S	NA	all F S or S+U	FALSE	NA	NA	NA	NA	NA	NA	NA	41	0	1	0	NA	NA	1	0	0	0	Subject	inactivated gene	2	0	0	0.00394425421333688	Subject	0.0198151157455669	S	0.317950416849567	Subject	0.00791978998630126	3	0	0	3	1	Subject	FALSE
BCAP31	ENSG00000185825	protein_coding	chrX	153700492	153724565	BCAP31	ENSG00000185825	protein_coding	Mostly S	NA	NA	S	S or S+U and VE and U	FALSE	12	0	subject	0.0183333333333333	0.0388074110385523	-0.00362402649213408	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0183333333333333	1	0	0	1	1	Subject	FALSE
BCLAF3	ENSG00000173681	protein_coding	chrX	19912860	19970298	CXorf23	ENSG00000173681	protein_coding	S	0.11	NA	S	NA	FALSE	22	0.0454545454545455	subject	0.0148181818181818	0.0390901112372016	-0.00151653602947427	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0148181818181818	1	0	0	1	1	Subject	FALSE
BCOR	ENSG00000183337	protein_coding	chrX	40049815	40177329	BCOR	ENSG00000183337	protein_coding	Mostly S	0.22	NA	S	E or E+U and VE	FALSE	46	0	subject	0.0141217391304348	0.0363566464230467	0.00361516879745672	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0106988068324216	S	0.38664517887036	Subject	0.0124102729814282	2	0	0	2	1	Subject	FALSE
BCORL1	ENSG00000085185	protein_coding	chrX	129981107	130058071	BCORL1	ENSG00000085185	protein_coding	S	0	NA	S	NA	FALSE	34	0	subject	0.0178235294117647	0.0304295217383774	0.00759503435936264	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0178235294117647	1	0	0	1	1	Subject	FALSE
BEX2	ENSG00000133134	protein_coding	chrX	103309346	103311007	BEX2	ENSG00000133134	protein_coding	S	0	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	Subject	FALSE
BEX3	ENSG00000166681	protein_coding	chrX	103376395	103378164	NGFRAP1	ENSG00000166681	protein_coding	S	0	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	Subject	FALSE
BEX4	ENSG00000102409	protein_coding	chrX	103215108	103217246	BEX4	ENSG00000102409	protein_coding	S	0	NA	NA	all F S	FALSE	NA	NA	NA	NA	NA	NA	NA	13	0	1	NA	NA	0	1	0	0	0	Subject	inactivated gene	2	0	0	0.00142555284674328	Subject	0.0104660788537	S	0.721067610157019	Subject	0.00396387723348109	3	0	0	3	1	Subject	FALSE
BEX5	ENSG00000184515	protein_coding	chrX	102153708	102155977	BEX5	ENSG00000184515	protein_coding	No call	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	No call	FALSE
BGN	ENSG00000182492	protein_coding	chrX	153494980	153509546	BGN	ENSG00000182492	protein_coding	S	0	S	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	Subject	FALSE
BHLHB9	ENSG00000198908	protein_coding	chrX	102720688	102753540	BHLHB9	ENSG00000198908	protein_coding	S	0	NA	NA	all F S or S+U	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	Subject	FALSE
BRCC3	ENSG00000185515	protein_coding	chrX	155071420	155123077	BRCC3	ENSG00000185515	protein_coding	Mostly S	0.33	NA	S	NA	FALSE	31	0.032258064516129	subject	0.0405290322580645	0.112443310734931	0.00094601927860645	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00871717685420085	S	0.905206388265916	Subject	0.0246231045561327	2	0	0	2	1	Subject	FALSE
BRWD3	ENSG00000165288	protein_coding	chrX	80669503	80809877	BRWD3	ENSG00000165288	protein_coding	S	NA	NA	S	all F S	FALSE	28	0	subject	0.007325	0.024104611899278	-0.00160347319493051	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	2	0	0	0	Subject	NA	NA	NA	NA	0.0036625	2	0	0	2	1	Subject	FALSE
BTK	ENSG00000010671	protein_coding	chrX	101349447	101390796	BTK	ENSG00000010671	protein_coding	S	0.22	NA	S	all F S or S+U	FALSE	47	0.0212765957446809	subject	0.0233765957446808	0.0455799165001332	0.0103455080444582	Subject	22	0	1	0.0078125	NA	0	2	0	0	0.00260416666666667	Subject	NA	NA	NA	NA	NA	NA	0.0287487489497186	S	0.100315310928028	Subject	0.0182431704536887	3	0	0	3	1	Subject	FALSE
C1GALT1C1	ENSG00000171155	protein_coding	chrX	120625674	120630054	C1GALT1C1	ENSG00000171155	protein_coding	S	0	NA	NA	all F S or S+U	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	3	0	0	0.00289724198721079	Subject	0.0214505961815944	S	0.0085869536694521	Escape	0.0121739190844026	2	1	0.5	1	0.5	Subject	FALSE
CA5B	ENSG00000169239	protein_coding	chrX	15688830	15788411	CA5B	ENSG00000169239	protein_coding	Mostly E	1	E	E	E or E+U and VE and U	FALSE	36	0.944444444444444	escape	0.336205555555556	0.124839984310074	0.295424494014265	Escape	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	escapee , robust set	2	2	1	0.156815469731429	Escape	NA	NA	NA	NA	0.246510512643493	2	2	1	0	0	Escape	FALSE
CASK	ENSG00000147044	protein_coding	chrX	41514934	41923554	CASK	ENSG00000147044	protein_coding	S	0	NA	S	all F S or S+U	FALSE	66	0.0454545454545455	subject	0.0342681818181818	0.0612894147193735	0.0194815391576275	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	5	0	0	0.00474328779858828	Subject	NA	NA	NA	NA	0.0195057348083851	2	0	0	2	1	Subject	FALSE
CCDC120	ENSG00000147144	protein_coding	chrX	49053572	49069857	CCDC120	ENSG00000147144	protein_coding	S	0	NA	NA	too much U	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	Subject	FALSE
CCDC22	ENSG00000101997	protein_coding	chrX	49235470	49250520	CCDC22	ENSG00000101997	protein_coding	S	0	NA	S	all F S or S+U	FALSE	32	0.03125	subject	0.0288125	0.101208570177724	-0.0062544804805631	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0154877442034257	S	0.260884861670767	Subject	0.0221501221017129	2	0	0	2	1	Subject	FALSE
CCNQ	ENSG00000262919	protein_coding	chrX	153587925	153600045	FAM58A	ENSG00000262919	protein_coding	S	0	NA	S	NA	FALSE	20	0	subject	0.017065	0.0435213834314751	-0.00200908727821182	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.017065	1	0	0	1	1	Subject	FALSE
CD99	ENSG00000002586	protein_coding	chrX	2691187	2741309	CD99	ENSG00000002586	protein_coding	PAR	1	NA	E	NA	FALSE	38	1	escape	0.621792105263158	0.170363505452438	0.567624349735065	Escape	NA	NA	NA	0.638888888888889	NA	0.574074074074074	2	2	1	0.606481481481481	Escape	inactivated gene	5	4	0.8	0.533636266474577	Escape	NA	NA	NA	NA	0.587303284406405	3	3	1	0	0	Escape	FALSE
CD99L2	ENSG00000102181	protein_coding	chrX	150766336	150898816	CD99L2	ENSG00000102181	protein_coding	S	0.11	S	S	too much U	FALSE	50	0	subject	0.011314	0.0290901063902475	0.00325063389435901	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	4	0	0	0.00547173528641276	Subject	0.0285753898134206	S	0.0643553952787504	Subject	0.0151203750332778	3	0	0	3	1	Subject	FALSE
CDK16	ENSG00000102225	protein_coding	chrX	47217860	47229997	CDK16	ENSG00000102225	protein_coding	Mostly E	1	NA	VE	E or E+U and VE and U	FALSE	32	0.75	variable escape	0.240553125	0.123585587384914	0.19773290362057	Escape	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.190710800362966	E	0.000109138361243018	Escape	0.215631962681483	2	2	1	0	0	Escape	FALSE
CDKL5	ENSG00000008086	protein_coding	chrX	18425583	18653629	CDKL5	ENSG00000008086	protein_coding	Mostly S	0.22	NA	VE	S or S+U and VE and U	FALSE	41	0.341463414634146	variable escape	0.143324390243902	0.149544153647824	0.0975488390783909	Escape	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	4	0	0	0.000167361965154711	Subject	NA	NA	NA	NA	0.0717458761045286	2	1	0.5	1	0.5	Subject	FALSE
CDR1	ENSG00000288642	protein_coding	chrX	140783578	140784366	CDR1	ENSG00000184258	protein_coding	S	0.22	NA	S	NA	FALSE	6	0	subject	0.151183333333333	0.0838128729173906	0.0841190676420495	Escape	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.151183333333333	1	1	1	0	0	Escape	TRUE
CENPI	ENSG00000102384	protein_coding	chrX	101098188	101166126	CENPI	ENSG00000102384	protein_coding	S	0	S	S	all F S or S+U	FALSE	42	0.0238095238095238	subject	0.0133	0.0344570004215222	0.00287901203441527	Subject	35	0	1	NA	0	0	2	0	0	0	Subject	inactivated gene	4	0	0	0.00329463794920054	Subject	0.0108668844998696	S	0.87725778885466	Subject	0.00686538061226754	4	0	0	4	1	Subject	FALSE
CETN2	ENSG00000147400	protein_coding	chrX	152826994	152830757	CETN2	ENSG00000147400	protein_coding	S	0	S	NA	all F S	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	Subject	FALSE
CFP	ENSG00000126759	protein_coding	chrX	47623172	47630305	CFP	ENSG00000126759	protein_coding	S	0	NA	S	NA	FALSE	36	0.0833333333333333	subject	0.040975	0.0944961386210342	0.0101062613837955	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0190990159345264	S	0.718618217565013	Subject	0.0300370079672632	2	0	0	2	1	Subject	FALSE
